static__AMOUNT_REQ,agg__Activity_A_ACCEPTED-COMPLETE,agg__Activity_A_FINALIZED-COMPLETE,agg__Activity_A_PARTLYSUBMITTED-COMPLETE,agg__Activity_A_PREACCEPTED-COMPLETE,agg__Activity_A_SUBMITTED-COMPLETE,agg__Activity_O_CREATED-COMPLETE,agg__Activity_O_SELECTED-COMPLETE,agg__Activity_O_SENT-COMPLETE,agg__Activity_W_Afhandelen leads-COMPLETE,agg__Activity_W_Afhandelen leads-SCHEDULE,agg__Activity_W_Afhandelen leads-START,agg__Activity_W_Beoordelen fraude-COMPLETE,agg__Activity_W_Beoordelen fraude-SCHEDULE,agg__Activity_W_Beoordelen fraude-START,agg__Activity_W_Completeren aanvraag-COMPLETE,agg__Activity_W_Completeren aanvraag-SCHEDULE,agg__Activity_W_Completeren aanvraag-START,agg__Activity_W_Nabellen offertes-SCHEDULE,agg__Resource_10138.0,agg__Resource_10188.0,agg__Resource_10228.0,agg__Resource_10609.0,agg__Resource_10629.0,agg__Resource_10779.0,agg__Resource_10809.0,agg__Resource_10859.0,agg__Resource_10861.0,agg__Resource_10862.0,agg__Resource_10863.0,agg__Resource_10880.0,agg__Resource_10881.0,agg__Resource_10889.0,agg__Resource_10909.0,agg__Resource_10910.0,agg__Resource_10912.0,agg__Resource_10913.0,agg__Resource_10914.0,agg__Resource_10929.0,agg__Resource_10931.0,agg__Resource_10932.0,agg__Resource_10933.0,agg__Resource_10935.0,agg__Resource_10939.0,agg__Resource_10971.0,agg__Resource_10972.0,agg__Resource_10982.0,agg__Resource_11000.0,agg__Resource_11001.0,agg__Resource_11002.0,agg__Resource_11003.0,agg__Resource_11009.0,agg__Resource_11019.0,agg__Resource_11049.0,agg__Resource_11111.0,agg__Resource_11119.0,agg__Resource_11120.0,agg__Resource_11121.0,agg__Resource_11122.0,agg__Resource_11169.0,agg__Resource_11179.0,agg__Resource_11180.0,agg__Resource_11181.0,agg__Resource_11189.0,agg__Resource_112.0,agg__Resource_11200.0,agg__Resource_11201.0,agg__Resource_11202.0,agg__Resource_11203.0,agg__Resource_11259.0,agg__Resource_other,agg__hour_mean,agg__hour_max,agg__hour_min,agg__hour_sum,agg__hour_std,agg__weekday_mean,agg__weekday_max,agg__weekday_min,agg__weekday_sum,agg__weekday_std,agg__month_mean,agg__month_max,agg__month_min,agg__month_sum,agg__month_std,agg__timesincemidnight_mean,agg__timesincemidnight_max,agg__timesincemidnight_min,agg__timesincemidnight_sum,agg__timesincemidnight_std,agg__timesincelastevent_mean,agg__timesincelastevent_max,agg__timesincelastevent_min,agg__timesincelastevent_sum,agg__timesincelastevent_std,agg__timesincecasestart_mean,agg__timesincecasestart_max,agg__timesincecasestart_min,agg__timesincecasestart_sum,agg__timesincecasestart_std,agg__event_nr_mean,agg__event_nr_max,agg__event_nr_min,agg__event_nr_sum,agg__event_nr_std,agg__open_cases_mean,agg__open_cases_max,agg__open_cases_min,agg__open_cases_sum,agg__open_cases_std
20000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,12.0,1.0,100.0,5.416025603090641,5.0,5.0,5.0,60.0,0.0,10.0,10.0,10.0,120.0,0.0,541.8333333333334,765.0,98.0,6502.0,327.43350007245283,55.540793055555554,657.1260333333333,0.0,666.4895166666666,189.45840130844846,443.53879722222223,666.4895166666666,0.0,5322.465566666667,327.2514209225545,6.5,12.0,1.0,78.0,3.605551275463989,7.0,10.0,1.0,84.0,4.431293675255978
5000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,15.0,9.0,150.0,2.8123105996832765,5.0,5.0,5.0,60.0,0.0,10.0,10.0,10.0,120.0,0.0,776.25,935.0,548.0,9315.0,179.81663640295557,32.23517638888889,207.54691666666668,0.0,386.82211666666666,72.49996945197526,228.00370555555557,386.82211666666666,0.0,2736.0444666666667,179.86716959252914,6.5,12.0,1.0,78.0,3.605551275463989,11.333333333333334,18.0,2.0,136.0,7.499494932488737
7000.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,11.666666666666666,14.0,9.0,140.0,2.1461734799546393,2.5,5.0,0.0,30.0,2.6111648393354674,10.0,10.0,10.0,120.0,0.0,721.6666666666666,874.0,550.0,8660.0,137.33325978226915,266.9932416666667,2856.0468,0.0,3203.9189,817.7708460515155,1611.61365,3203.9189,0.0,19339.3638,1614.500025142084,6.5,12.0,1.0,78.0,3.605551275463989,36.083333333333336,69.0,3.0,433.0,31.938743452636537
45000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,11.833333333333334,13.0,10.0,142.0,1.4034589305344731,5.0,5.0,5.0,60.0,0.0,10.0,10.0,10.0,120.0,0.0,750.6666666666666,810.0,659.0,9008.0,69.53786847118008,12.599034722222223,104.28511666666668,0.0,151.18841666666668,30.322700900154416,91.8844125,151.18841666666663,0.0,1102.61295,69.52761386993134,6.5,12.0,1.0,78.0,3.605551275463989,9.833333333333334,11.0,8.0,118.0,1.4034589305344731
15000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,132.0,0.0,5.0,5.0,5.0,60.0,0.0,10.0,10.0,10.0,120.0,0.0,701.1666666666666,704.0,697.0,8414.0,3.214550253664281,0.5897097222222222,3.5587166666666668,0.0,7.076516666666667,1.1488217861734624,4.1293347222222225,7.076516666666667,0.0,49.55201666666667,3.274721884478087,6.5,12.0,1.0,78.0,3.605551275463989,9.0,9.0,9.0,108.0,0.0
9000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,144.0,0.0,5.0,5.0,5.0,60.0,0.0,10.0,10.0,10.0,120.0,0.0,734.75,740.0,727.0,8817.0,6.18098256384414,1.1056333333333332,9.46185,0.0,13.2676,2.711357211263523,7.791875,13.2676,0.0,93.5025,6.387394768610734,6.5,12.0,1.0,78.0,3.605551275463989,10.0,10.0,10.0,120.0,0.0
15000.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,14.666666666666666,16.0,13.0,176.0,1.4354811251305475,5.0,5.0,5.0,60.0,0.0,10.0,10.0,10.0,120.0,0.0,912.75,996.0,816.0,10953.0,79.12375232392722,14.996429166666667,79.44233333333334,0.0,179.95715,29.611420081781006,97.12223194444444,179.95715,0.0,1165.4667833333333,79.04663810808067,6.5,12.0,1.0,78.0,3.605551275463989,15.333333333333334,18.0,12.0,184.0,2.6742316936860857
15000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,15.583333333333334,17.0,14.0,187.0,1.2401124093721456,5.0,5.0,5.0,60.0,0.0,10.0,10.0,10.0,120.0,0.0,955.0833333333334,1025.0,841.0,11461.0,84.59363648249985,15.288193055555558,143.20615,0.0,183.4583166666667,40.53693891263548,113.66382083333333,183.45831666666663,0.0,1363.96585,84.36049630656552,6.5,12.0,1.0,78.0,3.605551275463989,16.5,18.0,13.0,198.0,2.23606797749979
10000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,15.333333333333334,16.0,14.0,184.0,0.9847319278346618,5.0,5.0,5.0,60.0,0.0,10.0,10.0,10.0,120.0,0.0,952.8333333333334,1016.0,852.0,11434.0,74.72596400829963,13.640211111111109,132.4641,0.0,163.6825333333333,37.62496881882619,100.45826944444445,163.68253333333334,0.0,1205.4992333333334,74.55921149394914,6.5,12.0,1.0,78.0,3.605551275463989,16.666666666666668,18.0,14.0,200.0,1.9694638556693238
2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.75,16.0,15.0,189.0,0.4522670168666455,5.0,5.0,5.0,60.0,0.0,10.0,10.0,10.0,120.0,0.0,977.0,1018.0,908.0,11724.0,44.564559910314365,9.20630972222222,71.28798333333333,0.0,110.47571666666666,21.13465376020292,69.28223750000001,110.47571666666668,0.0,831.3868500000001,44.70665563259593,6.5,12.0,1.0,78.0,3.605551275463989,17.5,18.0,16.0,210.0,0.904534033733291
