static__AMOUNT_REQ,agg__Activity_A_ACCEPTED-COMPLETE,agg__Activity_A_CANCELLED-COMPLETE,agg__Activity_A_FINALIZED-COMPLETE,agg__Activity_A_PARTLYSUBMITTED-COMPLETE,agg__Activity_A_PREACCEPTED-COMPLETE,agg__Activity_A_SUBMITTED-COMPLETE,agg__Activity_O_CREATED-COMPLETE,agg__Activity_O_SELECTED-COMPLETE,agg__Activity_O_SENT-COMPLETE,agg__Activity_W_Afhandelen leads-COMPLETE,agg__Activity_W_Afhandelen leads-SCHEDULE,agg__Activity_W_Afhandelen leads-START,agg__Activity_W_Beoordelen fraude-COMPLETE,agg__Activity_W_Beoordelen fraude-SCHEDULE,agg__Activity_W_Beoordelen fraude-START,agg__Activity_W_Completeren aanvraag-COMPLETE,agg__Activity_W_Completeren aanvraag-SCHEDULE,agg__Activity_W_Completeren aanvraag-START,agg__Activity_W_Nabellen offertes-SCHEDULE,agg__Activity_W_Nabellen offertes-START,agg__Resource_10138.0,agg__Resource_10188.0,agg__Resource_10228.0,agg__Resource_10609.0,agg__Resource_10629.0,agg__Resource_10779.0,agg__Resource_10789.0,agg__Resource_10809.0,agg__Resource_10859.0,agg__Resource_10861.0,agg__Resource_10862.0,agg__Resource_10863.0,agg__Resource_10880.0,agg__Resource_10881.0,agg__Resource_10889.0,agg__Resource_10899.0,agg__Resource_10909.0,agg__Resource_10910.0,agg__Resource_10912.0,agg__Resource_10913.0,agg__Resource_10914.0,agg__Resource_10929.0,agg__Resource_10931.0,agg__Resource_10932.0,agg__Resource_10933.0,agg__Resource_10935.0,agg__Resource_10939.0,agg__Resource_10971.0,agg__Resource_10972.0,agg__Resource_10982.0,agg__Resource_11000.0,agg__Resource_11001.0,agg__Resource_11002.0,agg__Resource_11003.0,agg__Resource_11009.0,agg__Resource_11019.0,agg__Resource_11049.0,agg__Resource_11111.0,agg__Resource_11119.0,agg__Resource_11120.0,agg__Resource_11121.0,agg__Resource_11122.0,agg__Resource_11169.0,agg__Resource_11179.0,agg__Resource_11180.0,agg__Resource_11181.0,agg__Resource_11189.0,agg__Resource_112.0,agg__Resource_11200.0,agg__Resource_11201.0,agg__Resource_11202.0,agg__Resource_11203.0,agg__Resource_11259.0,agg__Resource_other,agg__hour_mean,agg__hour_max,agg__hour_min,agg__hour_sum,agg__hour_std,agg__weekday_mean,agg__weekday_max,agg__weekday_min,agg__weekday_sum,agg__weekday_std,agg__month_mean,agg__month_max,agg__month_min,agg__month_sum,agg__month_std,agg__timesincemidnight_mean,agg__timesincemidnight_max,agg__timesincemidnight_min,agg__timesincemidnight_sum,agg__timesincemidnight_std,agg__timesincelastevent_mean,agg__timesincelastevent_max,agg__timesincelastevent_min,agg__timesincelastevent_sum,agg__timesincelastevent_std,agg__timesincecasestart_mean,agg__timesincecasestart_max,agg__timesincecasestart_min,agg__timesincecasestart_sum,agg__timesincecasestart_std,agg__event_nr_mean,agg__event_nr_max,agg__event_nr_min,agg__event_nr_sum,agg__event_nr_std,agg__open_cases_mean,agg__open_cases_max,agg__open_cases_min,agg__open_cases_sum,agg__open_cases_std
20000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.692307692307692,13.0,1.0,113.0,5.344539509078642,5.0,5.0,5.0,65.0,0.0,10.0,10.0,10.0,130.0,0.0,561.3076923076923,795.0,98.0,7297.0,321.2608972510724,53.61121025641026,657.1260333333333,0.0,696.9457333333334,181.5259800724978,463.0316384615384,696.9457333333334,0.0,6019.4113,321.1053658262354,7.0,13.0,1.0,91.0,3.8944404818493075,7.3076923076923075,11.0,1.0,95.0,4.385290096535146
5000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,12.692307692307692,15.0,9.0,165.0,2.780426087988895,5.0,5.0,5.0,65.0,0.0,10.0,10.0,10.0,130.0,0.0,788.4615384615385,935.0,548.0,10250.0,177.70228632210268,29.755674358974357,207.54691666666668,0.0,386.82376666666664,69.98677161034401,240.22063333333332,386.8237666666666,0.0,3122.868233333333,177.75397423231368,7.0,13.0,1.0,91.0,3.8944404818493075,11.846153846153847,18.0,2.0,154.0,7.414469567970387
7000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,11.846153846153847,14.0,9.0,154.0,2.1543039806456377,2.3076923076923075,5.0,0.0,30.0,2.5943726083138543,10.0,10.0,10.0,130.0,0.0,733.8461538461538,880.0,550.0,9540.0,138.62590315536636,246.45530000000002,2856.0468,0.0,3203.9189,786.4499678217965,1734.5463756410256,3209.7390833333334,0.0,22549.102883333333,1608.0593020846752,7.0,13.0,1.0,91.0,3.8944404818493075,38.53846153846154,69.0,3.0,501.0,31.834507965977696
45000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,11.923076923076923,13.0,10.0,155.0,1.3821202589704007,5.0,5.0,5.0,65.0,0.0,10.0,10.0,10.0,130.0,0.0,755.2307692307693,810.0,659.0,9818.0,68.58103946688883,11.62999358974359,104.28511666666668,0.0,151.18991666666668,29.24126428018918,96.44637435897435,151.18991666666668,0.0,1253.8028666666667,68.569656415536,7.0,13.0,1.0,91.0,3.8944404818493075,9.923076923076923,11.0,8.0,129.0,1.3821202589704007
15000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,143.0,0.0,5.0,5.0,5.0,65.0,0.0,10.0,10.0,10.0,130.0,0.0,701.3846153846154,704.0,697.0,9118.0,3.176435673792779,0.5572794871794872,3.5587166666666668,0.0,7.244633333333333,1.1061108595307876,4.368973076923077,7.244633333333334,0.0,56.79665,3.2521836001664477,7.0,13.0,1.0,91.0,3.8944404818493075,9.0,9.0,9.0,117.0,0.0
9000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,156.0,0.0,5.0,5.0,5.0,65.0,0.0,10.0,10.0,10.0,130.0,0.0,735.2307692307693,741.0,727.0,9558.0,6.166493414059629,1.059698717948718,9.46185,0.0,13.776083333333334,2.6012047763920996,8.252198717948717,13.776083333333334,0.0,107.27858333333333,6.336685566199611,7.0,13.0,1.0,91.0,3.8944404818493075,10.0,10.0,10.0,130.0,0.0
15000.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,14.76923076923077,16.0,13.0,192.0,1.423250162705428,5.0,5.0,5.0,65.0,0.0,10.0,10.0,10.0,130.0,0.0,919.4615384615385,1000.0,816.0,11953.0,79.52632204142157,14.15296282051282,79.44233333333334,0.0,183.98851666666667,28.513421001175658,103.80425384615386,183.98851666666667,0.0,1349.4553,79.42364780220096,7.0,13.0,1.0,91.0,3.8944404818493075,15.538461538461538,18.0,12.0,202.0,2.665063620734804
15000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,15.692307692307692,17.0,14.0,204.0,1.2506408613597129,5.0,5.0,5.0,65.0,0.0,10.0,10.0,10.0,130.0,0.0,960.4615384615385,1025.0,841.0,12486.0,83.28126578510455,14.11395641025641,143.20615,0.0,183.48143333333334,39.041404651070586,119.0344064102564,183.4814333333333,0.0,1547.4472833333332,83.0577932629258,7.0,13.0,1.0,91.0,3.8944404818493075,16.615384615384617,18.0,13.0,216.0,2.1809195896250406
10000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,15.384615384615385,16.0,14.0,200.0,0.9607689228305228,5.0,5.0,5.0,65.0,0.0,10.0,10.0,10.0,130.0,0.0,957.6923076923077,1016.0,852.0,12450.0,73.658428591466,12.592446153846153,132.4641,0.0,163.7018,36.220711897199294,105.3231564102564,163.7018,0.0,1369.2010333333333,73.50845061071416,7.0,13.0,1.0,91.0,3.8944404818493075,16.76923076923077,18.0,14.0,218.0,1.921537845661046
2000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.76923076923077,16.0,15.0,205.0,0.43852900965351466,5.0,5.0,5.0,65.0,0.0,10.0,10.0,10.0,130.0,0.0,980.1538461538462,1018.0,908.0,12742.0,44.156626822116856,8.498160256410257,71.28798333333333,0.0,110.47608333333334,20.39534197042162,72.45099487179488,110.47608333333334,0.0,941.8629333333333,44.30193305437342,7.0,13.0,1.0,91.0,3.8944404818493075,17.53846153846154,18.0,16.0,228.0,0.8770580193070293
