static__AMOUNT_REQ,agg__Activity_A_PARTLYSUBMITTED-COMPLETE,agg__Activity_A_SUBMITTED-COMPLETE,agg__Resource_112.0,agg__hour_mean,agg__hour_max,agg__hour_min,agg__hour_sum,agg__hour_std,agg__weekday_mean,agg__weekday_max,agg__weekday_min,agg__weekday_sum,agg__weekday_std,agg__month_mean,agg__month_max,agg__month_min,agg__month_sum,agg__month_std,agg__timesincemidnight_mean,agg__timesincemidnight_max,agg__timesincemidnight_min,agg__timesincemidnight_sum,agg__timesincemidnight_std,agg__timesincelastevent_mean,agg__timesincelastevent_max,agg__timesincelastevent_min,agg__timesincelastevent_sum,agg__timesincelastevent_std,agg__timesincecasestart_mean,agg__timesincecasestart_max,agg__timesincecasestart_min,agg__timesincecasestart_sum,agg__timesincecasestart_std,agg__event_nr_mean,agg__event_nr_max,agg__event_nr_min,agg__event_nr_sum,agg__event_nr_std,agg__open_cases_mean,agg__open_cases_max,agg__open_cases_min,agg__open_cases_sum,agg__open_cases_std
20000.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,5.0,5.0,5.0,10.0,0.0,10.0,10.0,10.0,20.0,0.0,98.0,98.0,98.0,196.0,0.0,0.0027833333333333,0.0055666666666666,0.0,0.0055666666666666,0.003936227748605067,0.0027833333333333,0.0055666666666666,0.0,0.0055666666666666,0.003936227748605067,1.5,2.0,1.0,3.0,0.7071067811865476,1.0,1.0,1.0,2.0,0.0
5000.0,1.0,1.0,2.0,9.0,9.0,9.0,18.0,0.0,5.0,5.0,5.0,10.0,0.0,10.0,10.0,10.0,20.0,0.0,548.5,549.0,548.0,1097.0,0.7071067811865476,0.032825,0.06565,0.0,0.06565,0.04642156018489684,0.032825,0.06565,0.0,0.06565,0.04642156018489684,1.5,2.0,1.0,3.0,0.7071067811865476,2.0,2.0,2.0,4.0,0.0
7000.0,1.0,1.0,2.0,9.0,9.0,9.0,18.0,0.0,5.0,5.0,5.0,10.0,0.0,10.0,10.0,10.0,20.0,0.0,550.0,550.0,550.0,1100.0,0.0,0.0025333333333333,0.0050666666666666,0.0,0.0050666666666666,0.003582674358011793,0.0025333333333333,0.0050666666666666,0.0,0.0050666666666666,0.003582674358011793,1.5,2.0,1.0,3.0,0.7071067811865476,3.0,3.0,3.0,6.0,0.0
45000.0,1.0,1.0,2.0,10.0,10.0,10.0,20.0,0.0,5.0,5.0,5.0,10.0,0.0,10.0,10.0,10.0,20.0,0.0,659.0,659.0,659.0,1318.0,0.0,0.0024,0.0048,0.0,0.0048,0.003394112549695428,0.0024,0.0048,0.0,0.0048,0.003394112549695428,1.5,2.0,1.0,3.0,0.7071067811865476,8.0,8.0,8.0,16.0,0.0
15000.0,1.0,1.0,2.0,11.0,11.0,11.0,22.0,0.0,5.0,5.0,5.0,10.0,0.0,10.0,10.0,10.0,20.0,0.0,697.0,697.0,697.0,1394.0,0.0,0.00245,0.0049,0.0,0.0049,0.003464823227814083,0.00245,0.0049,0.0,0.0049,0.003464823227814083,1.5,2.0,1.0,3.0,0.7071067811865476,9.0,9.0,9.0,18.0,0.0
9000.0,1.0,1.0,2.0,12.0,12.0,12.0,24.0,0.0,5.0,5.0,5.0,10.0,0.0,10.0,10.0,10.0,20.0,0.0,727.0,727.0,727.0,1454.0,0.0,0.0054083333333333,0.0108166666666666,0.0,0.0108166666666666,0.007648538349834442,0.0054083333333333,0.0108166666666666,0.0,0.0108166666666666,0.007648538349834442,1.5,2.0,1.0,3.0,0.7071067811865476,10.0,10.0,10.0,20.0,0.0
15000.0,1.0,1.0,2.0,13.0,13.0,13.0,26.0,0.0,5.0,5.0,5.0,10.0,0.0,10.0,10.0,10.0,20.0,0.0,816.0,816.0,816.0,1632.0,0.0,0.0022,0.0044,0.0,0.0044,0.003111269837220809,0.0022,0.0044,0.0,0.0044,0.003111269837220809,1.5,2.0,1.0,3.0,0.7071067811865476,12.0,12.0,12.0,24.0,0.0
15000.0,1.0,1.0,2.0,14.0,14.0,14.0,28.0,0.0,5.0,5.0,5.0,10.0,0.0,10.0,10.0,10.0,20.0,0.0,841.0,841.0,841.0,1682.0,0.0,0.00199166666666665,0.0039833333333333,0.0,0.0039833333333333,0.0028166420117263905,0.00199166666666665,0.0039833333333333,0.0,0.0039833333333333,0.0028166420117263905,1.5,2.0,1.0,3.0,0.7071067811865476,14.0,14.0,14.0,28.0,0.0
10000.0,1.0,1.0,2.0,14.0,14.0,14.0,28.0,0.0,5.0,5.0,5.0,10.0,0.0,10.0,10.0,10.0,20.0,0.0,852.0,852.0,852.0,1704.0,0.0,0.0016833333333333,0.0033666666666666,0.0,0.0033666666666666,0.002380592829994663,0.0016833333333333,0.0033666666666666,0.0,0.0033666666666666,0.002380592829994663,1.5,2.0,1.0,3.0,0.7071067811865476,14.0,14.0,14.0,28.0,0.0
2000.0,1.0,1.0,2.0,15.0,15.0,15.0,30.0,0.0,5.0,5.0,5.0,10.0,0.0,10.0,10.0,10.0,20.0,0.0,908.0,908.0,908.0,1816.0,0.0,0.0015833333333333,0.0031666666666666,0.0,0.0031666666666666,0.002239171473757353,0.0015833333333333,0.0031666666666666,0.0,0.0031666666666666,0.002239171473757353,1.5,2.0,1.0,3.0,0.7071067811865476,16.0,16.0,16.0,32.0,0.0
