static__AMOUNT_REQ,agg__Activity_A_PARTLYSUBMITTED-COMPLETE,agg__Activity_A_PREACCEPTED-COMPLETE,agg__Activity_A_SUBMITTED-COMPLETE,agg__Activity_W_Afhandelen leads-SCHEDULE,agg__Activity_W_Afhandelen leads-START,agg__Activity_W_Beoordelen fraude-SCHEDULE,agg__Activity_W_Beoordelen fraude-START,agg__Activity_W_Completeren aanvraag-SCHEDULE,agg__Resource_10138.0,agg__Resource_10188.0,agg__Resource_10228.0,agg__Resource_10609.0,agg__Resource_10629.0,agg__Resource_10809.0,agg__Resource_10861.0,agg__Resource_10863.0,agg__Resource_10881.0,agg__Resource_10889.0,agg__Resource_10909.0,agg__Resource_10910.0,agg__Resource_10912.0,agg__Resource_10913.0,agg__Resource_10914.0,agg__Resource_10929.0,agg__Resource_10931.0,agg__Resource_10932.0,agg__Resource_10933.0,agg__Resource_10935.0,agg__Resource_10939.0,agg__Resource_10972.0,agg__Resource_10982.0,agg__Resource_11000.0,agg__Resource_11001.0,agg__Resource_11002.0,agg__Resource_11003.0,agg__Resource_11009.0,agg__Resource_11119.0,agg__Resource_11121.0,agg__Resource_11122.0,agg__Resource_11169.0,agg__Resource_11179.0,agg__Resource_11180.0,agg__Resource_11181.0,agg__Resource_11189.0,agg__Resource_112.0,agg__Resource_11201.0,agg__Resource_11203.0,agg__Resource_11259.0,agg__Resource_other,agg__hour_mean,agg__hour_max,agg__hour_min,agg__hour_sum,agg__hour_std,agg__weekday_mean,agg__weekday_max,agg__weekday_min,agg__weekday_sum,agg__weekday_std,agg__month_mean,agg__month_max,agg__month_min,agg__month_sum,agg__month_std,agg__timesincemidnight_mean,agg__timesincemidnight_max,agg__timesincemidnight_min,agg__timesincemidnight_sum,agg__timesincemidnight_std,agg__timesincelastevent_mean,agg__timesincelastevent_max,agg__timesincelastevent_min,agg__timesincelastevent_sum,agg__timesincelastevent_std,agg__timesincecasestart_mean,agg__timesincecasestart_max,agg__timesincecasestart_min,agg__timesincecasestart_sum,agg__timesincecasestart_std,agg__event_nr_mean,agg__event_nr_max,agg__event_nr_min,agg__event_nr_sum,agg__event_nr_std,agg__open_cases_mean,agg__open_cases_max,agg__open_cases_min,agg__open_cases_sum,agg__open_cases_std
20000.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,5.0,5.0,5.0,20.0,0.0,10.0,10.0,10.0,40.0,0.0,98.5,99.0,98.0,394.0,0.5773502691896278,0.22637083333333333,0.8837666666666667,0.0,0.9054833333333333,0.4383150748996198,0.45009583333333325,0.9054833333333332,0.0,1.800383333333333,0.5165590626972192,2.5,4.0,1.0,10.0,1.2909944487358056,1.0,1.0,1.0,4.0,0.0
5000.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,36.0,0.0,5.0,5.0,5.0,20.0,0.0,10.0,10.0,10.0,40.0,0.0,548.75,549.0,548.0,2195.0,0.5000000000000094,0.25550833333333334,0.90755,0.0,1.0220333333333333,0.4355852713431793,0.5152208333333332,1.0220333333333331,0.0,2.060883333333333,0.5580233772109272,2.5,4.0,1.0,10.0,1.2909944487358056,2.0,2.0,2.0,8.0,0.0
7000.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,36.0,0.0,5.0,5.0,5.0,20.0,0.0,10.0,10.0,10.0,40.0,0.0,550.5,551.0,550.0,2202.0,0.5773502691896093,0.1795958333333333,0.70725,0.0,0.7183833333333332,0.351779469105659,0.35894166666666666,0.7183833333333334,0.0,1.4357666666666666,0.4115575448041078,2.5,4.0,1.0,10.0,1.2909944487358056,3.5,4.0,3.0,14.0,0.5773502691896257
45000.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,40.0,0.0,5.0,5.0,5.0,20.0,0.0,10.0,10.0,10.0,40.0,0.0,659.0,659.0,659.0,2636.0,0.0,0.13574583333333334,0.5319166666666667,0.0,0.5429833333333334,0.26412744797379195,0.271125,0.5429833333333334,0.0,1.0845,0.31031363599620493,2.5,4.0,1.0,10.0,1.2909944487358056,8.0,8.0,8.0,32.0,0.0
15000.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,44.0,0.0,5.0,5.0,5.0,20.0,0.0,10.0,10.0,10.0,40.0,0.0,697.5,698.0,697.0,2790.0,0.5773502691896093,0.17516666666666666,0.6885,0.0,0.7006666666666667,0.34223560110933327,0.3497416666666667,0.7006666666666667,0.0,1.3989666666666667,0.4010338365469372,2.5,4.0,1.0,10.0,1.2909944487358056,9.0,9.0,9.0,36.0,0.0
9000.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,48.0,0.0,5.0,5.0,5.0,20.0,0.0,10.0,10.0,10.0,40.0,0.0,727.5,728.0,727.0,2910.0,0.5773502691896093,0.18006249999999996,0.70275,0.0,0.7202499999999998,0.3484868309789349,0.3611583333333333,0.72025,0.0,1.4446333333333332,0.4108175116403515,2.5,4.0,1.0,10.0,1.2909944487358056,10.0,10.0,10.0,40.0,0.0
15000.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0,52.0,0.0,5.0,5.0,5.0,20.0,0.0,10.0,10.0,10.0,40.0,0.0,816.0,816.0,816.0,3264.0,0.0,0.2112875,0.8343,0.0,0.84515,0.41535038295997756,0.4220625,0.84515,0.0,1.68825,0.4848259333255597,2.5,4.0,1.0,10.0,1.2909944487358056,12.0,12.0,12.0,48.0,0.0
15000.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,56.0,0.0,5.0,5.0,5.0,20.0,0.0,10.0,10.0,10.0,40.0,0.0,841.5,842.0,841.0,3366.0,0.5773502691896093,0.1908083333333333,0.7534166666666666,0.0,0.7632333333333332,0.37508011946585296,0.3811541666666667,0.7632333333333333,0.0,1.5246166666666667,0.4378286396091935,2.5,4.0,1.0,10.0,1.2909944487358056,13.5,14.0,13.0,54.0,0.5773502691896255
10000.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,56.0,0.0,5.0,5.0,5.0,20.0,0.0,10.0,10.0,10.0,40.0,0.0,852.5,853.0,852.0,3410.0,0.5773502691896093,0.1825,0.7209333333333333,0.0,0.73,0.358963180821077,0.36441666666666667,0.73,0.0,1.4576666666666667,0.41885709443144875,2.5,4.0,1.0,10.0,1.2909944487358056,14.0,14.0,14.0,56.0,0.0
2000.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,15.25,16.0,15.0,61.0,0.5,5.0,5.0,5.0,20.0,0.0,10.0,10.0,10.0,40.0,0.0,925.75,979.0,908.0,3703.0,35.5,17.877533333333332,71.28798333333333,0.0,71.51013333333333,35.60711417270378,17.9338625,71.51013333333333,0.0,71.73545,35.71766525276516,2.5,4.0,1.0,10.0,1.2909944487358056,16.5,18.0,16.0,66.0,1.0
