Actual;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability;ACV Subset Stability;ACV Weight Stability;ACV Adjusted Weight Stability;LINDA Subset Stability;LINDA Weight Stability;LINDA Adjusted Weight Stability
0;0;0.955149537;1;0.99998954;0.99998954;1;0.998559484;0.998559484;1.0;1.0;1.0;;1.0;1.0
0;0;0.961010558;1;0.999987041;0.999987041;1;0.998808427;0.998808427;1.0;1.0;1.0;;1.0;1.0
0;0;0.961065681;1;0.999990761;0.999990761;1;0.998768526;0.998768526;1.0;1.0;1.0;;1.0;1.0
0;0;0.959309137;1;0.999987297;0.999987297;1;0.997107155;0.997107155;1.0;1.0;1.0;;1.0;1.0
0;0;0.961654019;1;0.999989288;0.999989288;1;0.998753255;0.998753255;1.0;1.0;1.0;;1.0;1.0
0;0;0.959761022;1;0.999984004;0.999984004;1;0.996216398;0.996216398;1.0;1.0;1.0;;1.0;1.0
0;0;0.960217842;1;0.999974193;0.999974193;1;0.993749726;0.993749726;1.0;1.0;1.0;;1.0;1.0
0;0;0.959103816;1;0.99999278;0.99999278;1;0.98824196;0.98824196;1.0;1.0;1.0;;1.0;1.0
0;0;0.960784756;1;0.999985176;0.999985176;1;0.982549284;0.982549284;1.0;1.0;1.0;;1.0;1.0
0;0;0.962157211;1;0.999980505;0.999980505;1;0.996252128;0.996252128;1.0;1.0;1.0;;1.0;1.0
0;0;0.964135615;1;0.999977023;0.999977023;1;0.998866963;0.998866963;1.0;1.0;1.0;;1.0;1.0
0;0;0.962278767;1;0.999977142;0.999977142;1;0.998283137;0.998283137;1.0;1.0;1.0;;1.0;1.0
0;0;0.96408889;1;0.99998187;0.99998187;1;0.997727382;0.997727382;1.0;1.0;1.0;;1.0;1.0
0;0;0.959680079;1;0.999984151;0.999984151;1;0.998709476;0.998709476;1.0;1.0;1.0;;1.0;1.0
0;0;0.960958223;1;0.999984338;0.999984338;1;0.998776456;0.998776456;1.0;1.0;1.0;;1.0;1.0
0;0;0.960276496;1;0.999983084;0.999983084;1;0.997056464;0.997056464;1.0;1.0;1.0;;1.0;1.0
0;0;0.959504383;1;0.999990759;0.999990759;1;0.996583122;0.996583122;1.0;1.0;1.0;;1.0;1.0
0;0;0.961086023;1;0.999975599;0.999975599;1;0.996618827;0.996618827;1.0;1.0;1.0;;1.0;1.0
0;0;0.96173698;1;0.999980583;0.999980583;1;0.99857288;0.99857288;1.0;1.0;1.0;;1.0;1.0
0;0;0.961953603;1;0.999975671;0.999975671;1;0.997861991;0.997861991;1.0;1.0;1.0;;1.0;1.0
0;0;0.962446212;1;0.999987485;0.999987485;1;0.996607895;0.996607895;1.0;1.0;1.0;;1.0;1.0
0;0;0.960288211;1;0.999975777;0.999975777;1;0.998222697;0.998222697;1.0;1.0;1.0;;1.0;1.0
0;0;0.958884671;1;0.999991624;0.999991624;1;0.997985767;0.997985767;1.0;1.0;1.0;;1.0;1.0
0;0;0.962344739;1;0.999983849;0.999983849;1;0.998723748;0.998723748;1.0;1.0;1.0;;1.0;1.0
0;0;0.961967891;1;0.999987066;0.999987066;1;0.99401523;0.99401523;1.0;1.0;1.0;;1.0;1.0
0;0;0.960186529;1;0.999986544;0.999986544;1;0.99819741;0.99819741;1.0;1.0;1.0;;1.0;1.0
0;0;0.956905284;1;0.99998344;0.99998344;1;0.995811194;0.995811194;1.0;1.0;1.0;;1.0;1.0
0;0;0.959668819;1;0.999991218;0.999991218;1;0.999323438;0.999323438;1.0;1.0;1.0;;1.0;1.0
0;0;0.964519671;1;0.999967114;0.999967114;1;0.997642927;0.997642927;1.0;1.0;1.0;;1.0;1.0
0;0;0.964361609;1;0.999986604;0.999986604;1;0.998692907;0.998692907;1.0;1.0;1.0;;1.0;1.0
0;0;0.95401974;1;0.999993112;0.999993112;1;0.998358942;0.998358942;1.0;1.0;1.0;;1.0;1.0
0;0;0.959926214;1;0.999988851;0.999988851;1;0.997902929;0.997902929;1.0;1.0;1.0;;1.0;1.0
0;0;0.958845362;1;0.999977615;0.999977615;1;0.996489346;0.996489346;1.0;1.0;1.0;;1.0;1.0
0;0;0.961415809;1;0.99998706;0.99998706;1;0.996419307;0.996419307;1.0;1.0;1.0;;1.0;1.0
0;0;0.96183002;1;0.999966423;0.999966423;1;0.992382126;0.992382126;1.0;1.0;1.0;;1.0;1.0
0;0;0.960106576;1;0.999989605;0.999989605;1;0.998432044;0.998432044;1.0;1.0;1.0;;1.0;1.0
0;0;0.960280367;1;0.999990574;0.999990574;1;0.99764762;0.99764762;1.0;1.0;1.0;;1.0;1.0
0;0;0.960568438;1;0.99998741;0.99998741;1;0.997680117;0.997680117;1.0;1.0;1.0;;1.0;1.0
0;0;0.960276833;1;0.999979167;0.999979167;1;0.971488709;0.971488709;1.0;1.0;1.0;;1.0;1.0
0;0;0.961764386;1;0.999977411;0.999977411;1;0.997868825;0.997868825;1.0;1.0;1.0;;1.0;1.0
0;0;0.963583108;1;0.999991459;0.999991459;1;0.996694525;0.996694525;1.0;1.0;1.0;;1.0;1.0
0;0;0.957897761;1;0.99999152;0.99999152;1;0.988560292;0.988560292;1.0;1.0;1.0;;1.0;1.0
0;0;0.962513314;1;0.999976182;0.999976182;1;0.998358606;0.998358606;1.0;1.0;1.0;;1.0;1.0
0;0;0.958936372;1;0.999988731;0.999988731;1;0.993621135;0.993621135;1.0;1.0;1.0;;1.0;1.0
0;0;0.959154787;1;0.99998744;0.99998744;1;0.998412998;0.998412998;1.0;1.0;1.0;;1.0;1.0
0;0;0.966024615;1;0.999985419;0.999985419;1;0.988677526;0.988677526;1.0;1.0;1.0;;1.0;1.0
0;0;0.959471219;1;0.999990104;0.999990104;1;0.998746603;0.998746603;1.0;1.0;1.0;;1.0;1.0
0;0;0.959800322;1;0.999990167;0.999990167;1;0.999005711;0.999005711;1.0;1.0;1.0;;1.0;1.0
0;0;0.961159102;1;0.999982441;0.999982441;1;0.998291995;0.998291995;1.0;1.0;1.0;;1.0;1.0
0;0;0.96242206;1;0.999972046;0.999972046;1;0.998343423;0.998343423;1.0;1.0;1.0;;1.0;1.0
1;1;0.941446347;1;0.999881714;0.999881714;1;0.993278429;0.993278429;1.0;1.0;1.0;;1.0;1.0
1;1;0.942235643;1;0.999875821;0.999875821;1;0.997298257;0.997298257;1.0;1.0;1.0;;1.0;1.0
1;1;0.935689102;1;0.999788758;0.999788758;1;0.999019866;0.999019866;1.0;1.0;1.0;;1.0;1.0
1;1;0.943303366;1;0.999906543;0.999906543;1;0.997733134;0.997733134;1.0;1.0;1.0;;1.0;1.0
1;1;0.942479174;1;0.999847276;0.999847276;1;0.998377379;0.998377379;1.0;1.0;1.0;;1.0;1.0
1;1;0.942542761;1;0.999922158;0.999922158;1;0.995806097;0.995806097;1.0;1.0;1.0;;1.0;1.0
1;1;0.939806236;1;0.999966227;0.999966227;1;0.997579576;0.997579576;1.0;1.0;1.0;;1.0;1.0
1;1;0.941781495;1;0.999930494;0.999930494;1;0.997873538;0.997873538;1.0;1.0;1.0;;1.0;1.0
1;1;0.945296788;1;0.999953059;0.999953059;1;0.99775549;0.99775549;1.0;1.0;1.0;;1.0;1.0
1;1;0.942552138;1;0.999959737;0.999959737;1;0.99781226;0.99781226;1.0;1.0;1.0;;1.0;1.0
1;1;0.943370081;1;0.999902305;0.999902305;1;0.998307793;0.998307793;1.0;1.0;1.0;;1.0;1.0
1;1;0.942865804;1;0.999910177;0.999910177;1;0.995281194;0.995281194;1.0;1.0;1.0;;1.0;1.0
1;1;0.946104201;1;0.999910896;0.999910896;1;0.997965016;0.997965016;1.0;1.0;1.0;;1.0;1.0
1;1;0.948301819;1;0.999872589;0.999872589;1;0.997208106;0.997208106;1.0;1.0;1.0;;1.0;1.0
1;1;0.946007632;1;0.999913189;0.999913189;1;0.997630105;0.997630105;1.0;1.0;1.0;;1.0;1.0
1;1;0.942722234;1;0.99994871;0.99994871;1;0.998462284;0.998462284;1.0;1.0;1.0;;1.0;1.0
1;1;0.93669445;1;0.999869872;0.999869872;1;0.98928458;0.98928458;1.0;1.0;1.0;;1.0;1.0
1;1;0.942246814;1;0.999902063;0.999902063;1;0.998306269;0.998306269;1.0;1.0;1.0;;1.0;1.0
1;1;0.939674266;1;0.999961339;0.999961339;1;0.996328944;0.996328944;1.0;1.0;1.0;;1.0;1.0
1;1;0.948068866;1;0.999961192;0.999961192;1;0.990950501;0.990950501;1.0;1.0;1.0;;1.0;1.0
1;1;0.947989125;1;0.999878458;0.999878458;1;0.998091837;0.998091837;1.0;1.0;1.0;;1.0;1.0
1;1;0.94486244;1;0.999892814;0.999892814;1;0.866537575;0.866537575;1.0;1.0;1.0;;1.0;1.0
1;1;0.936327976;1;0.999892662;0.999892662;1;0.995469717;0.995469717;1.0;1.0;1.0;;1.0;1.0
