Part_Desc_,Rework,Work_Order_Qty,Case ID,label,Activity,Resource,Report_Type,Resource.1,Qty_Completed,Qty_for_MRB,activity_duration,Complete Timestamp,timesincemidnight,month,weekday,hour,timesincelastevent,timesincecasestart,event_nr,open_cases
Cable Head,missing,250.0,Case178,regular,Round Grinding - Machine 3,ID4445,D,Machine 3 - Round Grinding,31.0,0.0,290.0,2012-01-02 04:50:00,290.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0
Electrical Contact,missing,320.0,Case238,deviant,Turning & Milling - Machine 4,ID4794,S,Machine 4 - Turning & Milling,0.0,0.0,360.0,2012-01-02 07:00:00,420.0,1.0,0.0,7.0,0.0,0.0,1.0,2.0
Cable Head,missing,200.0,Case187,deviant,Lapping - Machine 1,ID4882,D,Machine 1 - Lapping,0.0,0.0,150.0,2012-01-02 09:30:00,570.0,1.0,0.0,9.0,0.0,0.0,1.0,3.0
Cable Head,missing,250.0,Case178,regular,Round Grinding - Machine 2,ID4355,S,Machine 2 - Round Grinding,0.0,0.0,60.0,2012-01-02 11:00:00,660.0,1.0,0.0,11.0,370.0,370.0,2.0,4.0
Compound Dies,missing,18.0,Case263,regular,Turning & Milling - Machine 8,ID4219,S,Machine 8 - Turning & Milling,0.0,0.0,120.0,2012-01-02 11:00:00,660.0,1.0,0.0,11.0,0.0,0.0,1.0,4.0
Spur Gear,missing,225.0,Case254,regular,Laser Marking - Machine 7,ID0998,D,Machine 7- Laser Marking,225.0,0.0,120.0,2012-01-02 12:15:00,735.0,1.0,0.0,12.0,0.0,0.0,1.0,5.0
Punch Holder,missing,350.0,Case188,deviant,Lapping - Machine 1,ID4882,D,Machine 1 - Lapping,0.0,0.0,30.0,2012-01-02 12:50:00,770.0,1.0,0.0,12.0,0.0,0.0,1.0,6.0
Punch Holder,missing,350.0,Case188,deviant,Laser Marking - Machine 7,ID0998,D,Machine 7- Laser Marking,144.0,0.0,105.0,2012-01-02 14:00:00,840.0,1.0,0.0,14.0,70.0,70.0,2.0,6.0
Electrical Contact,missing,320.0,Case238,deviant,Turning & Milling - Machine 4,ID4529,S,Machine 4 - Turning & Milling,0.0,0.0,420.0,2012-01-02 14:00:00,840.0,1.0,0.0,14.0,420.0,420.0,2.0,6.0
Spur Gear,missing,225.0,Case254,regular,Flat Grinding - Machine 11,ID0998,D,Machine 11 - Grinding,100.0,0.0,120.0,2012-01-02 16:00:00,960.0,1.0,0.0,16.0,225.0,225.0,2.0,8.0
Punch Holder,missing,350.0,Case188,deviant,Lapping - Machine 1,ID4882,D,Machine 1 - Lapping,0.0,0.0,160.0,2012-01-02 16:00:00,960.0,1.0,0.0,16.0,120.0,190.0,3.0,8.0
Cable Head,missing,3.0,Case277,deviant,Milling - Machine 16,ID4326,D,Machine 16 - Milling,3.0,0.0,510.0,2012-01-02 16:00:00,960.0,1.0,0.0,16.0,0.0,0.0,1.0,8.0
Electrical Contact,missing,320.0,Case238,deviant,Turning & Milling - Machine 4,ID4529,D,Machine 4 - Turning & Milling,10.0,0.0,120.0,2012-01-02 16:00:00,960.0,1.0,0.0,16.0,120.0,540.0,3.0,8.0
other,missing,36.0,Case246,deviant,Turning & Milling - Machine 9,ID4641,D,Machine 9 - Turning & Milling,10.0,0.0,420.0,2012-01-02 16:00:00,960.0,1.0,0.0,16.0,0.0,0.0,1.0,8.0
Spur Gear,missing,3.0,Case274,regular,Turning & Milling - Machine 8,ID4219,S,Machine 8 - Turning & Milling,1.0,0.0,342.0,2012-01-02 16:43:00,1003.0,1.0,0.0,16.0,0.0,0.0,1.0,9.0
Punch Holder,missing,350.0,Case188,deviant,Lapping - Machine 1,ID0998,D,Machine 1 - Lapping,144.0,0.0,60.0,2012-01-02 17:00:00,1020.0,1.0,0.0,17.0,60.0,250.0,4.0,9.0
other,missing,40.0,Case255,regular,Turning - Machine 8,ID0997,D,Machine 15 - Turning,40.0,0.0,660.0,2012-01-02 18:00:00,1080.0,1.0,0.0,18.0,0.0,0.0,1.0,10.0
Housing,missing,46.0,Case153,regular,Round Grinding - Manual,ID4528,S,Machine 27 - Grinding,0.0,0.0,50.0,2012-01-02 19:50:00,1190.0,1.0,0.0,19.0,0.0,0.0,1.0,11.0
Housing,missing,46.0,Case153,regular,Round Grinding - Manual,ID4528,D,Machine 27 - Grinding,4.0,0.0,55.0,2012-01-02 20:45:00,1245.0,1.0,0.0,20.0,55.0,55.0,2.0,11.0
Cable Head,missing,150.0,Case271,deviant,Turning & Milling - Machine 5,ID4932,S,Machine 5 - Turning & Milling,0.0,0.0,53.0,2012-01-02 20:53:00,1253.0,1.0,0.0,20.0,0.0,0.0,1.0,12.0
Spur Gear,missing,20.0,Case236,regular,Round Grinding - Manual,ID4528,S,Machine 27 - Grinding,0.0,0.0,45.0,2012-01-02 21:30:00,1290.0,1.0,0.0,21.0,0.0,0.0,1.0,13.0
Cable Head,missing,150.0,Case271,deviant,Turning & Milling - Machine 5,ID4932,S,Machine 5 - Turning & Milling,0.0,0.0,161.0,2012-01-02 23:00:00,1380.0,1.0,0.0,23.0,127.0,127.0,2.0,13.0
other,missing,36.0,Case246,deviant,Turning & Milling - Machine 9,ID3846,D,Machine 9 - Turning & Milling,7.0,0.0,460.0,2012-01-02 23:40:00,1420.0,1.0,0.0,23.0,460.0,460.0,2.0,13.0
Spur Gear,missing,20.0,Case236,regular,Round Grinding - Manual,ID4528,D,Machine 27 - Grinding,0.0,0.0,105.0,2012-01-02 23:45:00,1425.0,1.0,0.0,23.0,135.0,135.0,2.0,13.0
Cable Head,missing,180.0,Case199,deviant,Lapping - Machine 1,ID4882,D,Machine 1 - Lapping,0.0,0.0,75.0,2012-01-03 01:15:00,75.0,1.0,1.0,1.0,0.0,0.0,1.0,16.0
Cable Head,missing,17.0,Case185,regular,Turning & Milling - Machine 10,ID4132,D,Machine 10 - Grinding,2.0,0.0,75.0,2012-01-03 01:15:00,75.0,1.0,1.0,1.0,0.0,0.0,1.0,16.0
Fastener,missing,313.0,Case237,deviant,Turning & Milling Q.C.,ID4618,D,Quality Check 1,179.0,0.0,75.0,2012-01-03 01:15:00,75.0,1.0,1.0,1.0,0.0,0.0,1.0,16.0
Cable Head,missing,3.0,Case277,deviant,Turning & Milling Q.C.,ID4493,D,Quality Check 1,3.0,0.0,75.0,2012-01-03 01:15:00,75.0,1.0,1.0,1.0,555.0,555.0,2.0,16.0
Electrical Contact,missing,320.0,Case238,deviant,Turning & Milling - Machine 4,ID4794,D,Machine 4 - Turning & Milling,52.0,0.0,660.0,2012-01-03 07:00:00,420.0,1.0,1.0,7.0,900.0,1440.0,4.0,16.0
Cable Head,missing,150.0,Case271,deviant,Turning & Milling - Machine 5,ID4932,D,Machine 5 - Turning & Milling,28.0,0.0,480.0,2012-01-03 07:00:00,420.0,1.0,1.0,7.0,480.0,607.0,3.0,16.0
Electrical Contact,missing,320.0,Case238,deviant,Turning & Milling - Machine 4,ID4167,D,Machine 4 - Turning & Milling,0.0,0.0,9.0,2012-01-03 07:43:00,463.0,1.0,1.0,7.0,43.0,1483.0,5.0,16.0
Spur Gear,missing,20.0,Case236,regular,Turning & Milling Q.C.,ID4618,D,Quality Check 1,0.0,0.0,54.0,2012-01-03 07:44:00,464.0,1.0,1.0,7.0,479.0,614.0,3.0,16.0
Spur Gear,missing,3.0,Case274,regular,Turning & Milling Q.C.,ID4287,D,Quality Check 1,0.0,0.0,95.0,2012-01-03 08:40:00,520.0,1.0,1.0,8.0,957.0,957.0,2.0,16.0
Cable Head,missing,150.0,Case271,deviant,Turning & Milling - Machine 5,ID4429,B,Machine 5 - Turning & Milling,0.0,0.0,98.0,2012-01-03 08:43:00,523.0,1.0,1.0,8.0,103.0,710.0,4.0,16.0
Electrical Contact,missing,320.0,Case238,deviant,Turning & Milling - Machine 4,ID4167,S,Machine 4 - Turning & Milling,1.0,0.0,74.0,2012-01-03 08:49:00,529.0,1.0,1.0,8.0,66.0,1549.0,6.0,16.0
Electrical Contact,missing,320.0,Case238,deviant,Turning & Milling Q.C.,ID4618,D,Quality Check 1,94.0,0.0,87.0,2012-01-03 09:11:00,551.0,1.0,1.0,9.0,22.0,1571.0,7.0,16.0
Spur Gear,missing,3.0,Case274,regular,Turning & Milling - Machine 8,ID4219,B,Machine 8 - Turning & Milling,0.0,0.0,193.0,2012-01-03 10:12:00,612.0,1.0,1.0,10.0,92.0,1049.0,3.0,16.0
Spur Gear,missing,20.0,Case236,regular,Round Grinding - Manual,ID4872,D,Machine 27 - Grinding,0.0,0.0,290.0,2012-01-03 11:50:00,710.0,1.0,1.0,11.0,246.0,860.0,4.0,16.0
Spur Gear,missing,3.0,Case274,regular,Turning & Milling - Machine 8,ID4219,D,Machine 8 - Turning & Milling,2.0,0.0,98.0,2012-01-03 11:51:00,711.0,1.0,1.0,11.0,99.0,1148.0,4.0,16.0
Spur Gear,missing,3.0,Case274,regular,Turning & Milling Q.C.,ID4287,D,Quality Check 1,3.0,0.0,44.0,2012-01-03 12:14:00,734.0,1.0,1.0,12.0,23.0,1171.0,5.0,16.0
Spur Gear,missing,3.0,Case274,regular,Flat Grinding - Machine 11,ID4872,D,Machine 11 - Grinding,3.0,0.0,40.0,2012-01-03 12:30:00,750.0,1.0,1.0,12.0,16.0,1187.0,6.0,16.0
Cable Head,missing,180.0,Case199,deviant,Lapping - Machine 1,ID4882,D,Machine 1 - Lapping,0.0,0.0,266.0,2012-01-03 12:50:00,770.0,1.0,1.0,12.0,695.0,695.0,2.0,16.0
Fastener,missing,313.0,Case237,deviant,Turning & Milling - Machine 4,ID4167,D,Machine 4 - Turning & Milling,31.0,0.0,360.0,2012-01-03 13:00:00,780.0,1.0,1.0,13.0,705.0,705.0,2.0,16.0
Spur Gear,missing,3.0,Case274,regular,Lapping - Machine 1,ID4872,D,Machine 1 - Lapping,3.0,0.0,60.0,2012-01-03 13:30:00,810.0,1.0,1.0,13.0,60.0,1247.0,7.0,16.0
other,missing,36.0,Case246,deviant,Turning & Milling - Machine 9,ID4641,D,Machine 9 - Turning & Milling,14.0,0.0,75.0,2012-01-03 15:29:00,929.0,1.0,1.0,15.0,949.0,1409.0,3.0,15.0
Cable Head,missing,180.0,Case199,deviant,Lapping - Machine 1,ID0998,D,Machine 1 - Lapping,36.0,0.0,190.0,2012-01-03 15:35:00,935.0,1.0,1.0,15.0,165.0,860.0,3.0,15.0
