static__AMOUNT_REQ,agg__Activity_A_ACCEPTED-COMPLETE,agg__Activity_A_FINALIZED-COMPLETE,agg__Activity_A_PARTLYSUBMITTED-COMPLETE,agg__Activity_A_PREACCEPTED-COMPLETE,agg__Activity_A_SUBMITTED-COMPLETE,agg__Activity_O_SELECTED-COMPLETE,agg__Activity_W_Afhandelen leads-COMPLETE,agg__Activity_W_Afhandelen leads-SCHEDULE,agg__Activity_W_Afhandelen leads-START,agg__Activity_W_Beoordelen fraude-COMPLETE,agg__Activity_W_Beoordelen fraude-SCHEDULE,agg__Activity_W_Beoordelen fraude-START,agg__Activity_W_Completeren aanvraag-COMPLETE,agg__Activity_W_Completeren aanvraag-SCHEDULE,agg__Activity_W_Completeren aanvraag-START,agg__Resource_10138.0,agg__Resource_10188.0,agg__Resource_10228.0,agg__Resource_10609.0,agg__Resource_10629.0,agg__Resource_10779.0,agg__Resource_10809.0,agg__Resource_10859.0,agg__Resource_10861.0,agg__Resource_10862.0,agg__Resource_10863.0,agg__Resource_10880.0,agg__Resource_10881.0,agg__Resource_10889.0,agg__Resource_10909.0,agg__Resource_10910.0,agg__Resource_10912.0,agg__Resource_10913.0,agg__Resource_10914.0,agg__Resource_10929.0,agg__Resource_10931.0,agg__Resource_10932.0,agg__Resource_10933.0,agg__Resource_10935.0,agg__Resource_10939.0,agg__Resource_10971.0,agg__Resource_10972.0,agg__Resource_10982.0,agg__Resource_11000.0,agg__Resource_11001.0,agg__Resource_11002.0,agg__Resource_11003.0,agg__Resource_11009.0,agg__Resource_11019.0,agg__Resource_11049.0,agg__Resource_11111.0,agg__Resource_11119.0,agg__Resource_11120.0,agg__Resource_11121.0,agg__Resource_11122.0,agg__Resource_11169.0,agg__Resource_11179.0,agg__Resource_11180.0,agg__Resource_11181.0,agg__Resource_11189.0,agg__Resource_112.0,agg__Resource_11200.0,agg__Resource_11201.0,agg__Resource_11202.0,agg__Resource_11203.0,agg__Resource_11259.0,agg__Resource_other,agg__hour_mean,agg__hour_max,agg__hour_min,agg__hour_sum,agg__hour_std,agg__weekday_mean,agg__weekday_max,agg__weekday_min,agg__weekday_sum,agg__weekday_std,agg__month_mean,agg__month_max,agg__month_min,agg__month_sum,agg__month_std,agg__timesincemidnight_mean,agg__timesincemidnight_max,agg__timesincemidnight_min,agg__timesincemidnight_sum,agg__timesincemidnight_std,agg__timesincelastevent_mean,agg__timesincelastevent_max,agg__timesincelastevent_min,agg__timesincelastevent_sum,agg__timesincelastevent_std,agg__timesincecasestart_mean,agg__timesincecasestart_max,agg__timesincecasestart_min,agg__timesincecasestart_sum,agg__timesincecasestart_std,agg__event_nr_mean,agg__event_nr_max,agg__event_nr_min,agg__event_nr_sum,agg__event_nr_std,agg__open_cases_mean,agg__open_cases_max,agg__open_cases_min,agg__open_cases_sum,agg__open_cases_std
20000.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,12.0,1.0,52.0,5.879747322073336,5.0,5.0,5.0,40.0,0.0,10.0,10.0,10.0,80.0,0.0,430.25,765.0,98.0,3442.0,354.66674498746,83.30145208333333,657.1260333333333,0.0,666.4116166666666,231.86931122813942,332.0793125,666.4116166666666,0.0,2656.6345,354.5361586361443,4.5,8.0,1.0,36.0,2.449489742783178,5.5,10.0,1.0,44.0,4.810702354423639
5000.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,15.0,9.0,90.0,2.659215781283755,5.0,5.0,5.0,40.0,0.0,10.0,10.0,10.0,80.0,0.0,696.875,933.0,548.0,5575.0,170.9071907707305,48.1174125,207.54691666666668,0.0,384.9393,85.9919011244178,148.60122708333333,384.9393,0.0,1188.8098166666666,170.94698381416964,4.5,8.0,1.0,36.0,2.449489742783178,8.0,18.0,2.0,64.0,7.091242083423347
7000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,12.0,9.0,84.0,1.6035674514745464,3.75,5.0,0.0,30.0,2.3145502494313788,10.0,10.0,10.0,80.0,0.0,647.625,755.0,550.0,5181.0,104.05209890105188,383.8586041666667,2856.0468,0.0,3070.8688333333334,1001.3142687924312,817.5308291666666,3070.868833333333,0.0,6540.246633333333,1390.7335698136544,4.5,8.0,1.0,36.0,2.449489742783178,19.75,62.0,3.0,158.0,26.233838562327964
45000.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,13.0,10.0,90.0,1.3887301496588262,5.0,5.0,5.0,40.0,0.0,10.0,10.0,10.0,80.0,0.0,721.0,804.0,659.0,5768.0,67.68414036643188,18.17142916666667,104.28511666666668,0.0,145.37143333333336,36.53521535063292,62.23767291666667,145.37143333333333,0.0,497.90138333333334,67.69752004282465,4.5,8.0,1.0,36.0,2.449489742783178,9.25,11.0,8.0,74.0,1.3887301496588262
15000.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,88.0,0.0,5.0,5.0,5.0,40.0,0.0,10.0,10.0,10.0,80.0,0.0,699.75,704.0,697.0,5598.0,3.0589447293376506,0.8778375,3.5587166666666668,0.0,7.0227,1.337617913293735,2.6632645833333335,7.0227,0.0,21.306116666666668,3.079351849453572,4.5,8.0,1.0,36.0,2.449489742783178,9.0,9.0,9.0,72.0,0.0
9000.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,96.0,0.0,5.0,5.0,5.0,40.0,0.0,10.0,10.0,10.0,80.0,0.0,732.125,740.0,727.0,5857.0,6.034129124050491,1.6527625000000001,9.46185,0.0,13.222100000000001,3.244361996746439,5.0618687499999995,13.2221,0.0,40.494949999999996,6.209625946300729,4.5,8.0,1.0,36.0,2.449489742783178,10.0,10.0,10.0,80.0,0.0
15000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,16.0,13.0,112.0,1.3093073414159548,5.0,5.0,5.0,40.0,0.0,10.0,10.0,10.0,80.0,0.0,875.0,975.0,816.0,7000.0,70.11623003474809,19.88228541666667,79.44233333333334,0.0,159.05828333333335,35.67000855948099,59.45362708333333,159.05828333333332,0.0,475.62901666666664,70.13186256667468,4.5,8.0,1.0,36.0,2.449489742783178,14.0,17.0,12.0,112.0,2.2677868380553634
15000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,15.0,16.0,14.0,120.0,1.0690449676496971,5.0,5.0,5.0,40.0,0.0,10.0,10.0,10.0,80.0,0.0,921.875,1015.0,841.0,7375.0,86.34885639080576,21.721283333333336,143.20615,0.0,173.77026666666669,49.368841844934536,80.59163125,173.77026666666666,0.0,644.73305,86.1649610479821,4.5,8.0,1.0,36.0,2.449489742783178,15.75,18.0,13.0,126.0,2.434865792722759
10000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,16.0,14.0,120.0,1.0690449676496971,5.0,5.0,5.0,40.0,0.0,10.0,10.0,10.0,80.0,0.0,923.0,1002.0,852.0,7384.0,75.55887014204785,18.629997916666664,132.4641,0.0,149.0399833333333,46.17986986537244,70.61697708333332,149.03998333333334,0.0,564.9358166666666,75.29462318258545,4.5,8.0,1.0,36.0,2.449489742783178,16.0,18.0,14.0,128.0,2.1380899352993947
2000.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.625,16.0,15.0,125.0,0.5175491695067657,5.0,5.0,5.0,40.0,0.0,10.0,10.0,10.0,80.0,0.0,956.875,1009.0,908.0,7655.0,41.60850702852552,12.689118749999999,71.28798333333333,0.0,101.51294999999999,25.63239825438625,49.095591666666664,101.51295,0.0,392.7647333333333,41.74426282925519,4.5,8.0,1.0,36.0,2.449489742783178,17.25,18.0,16.0,138.0,1.0350983390135313
