static__AMOUNT_REQ,agg__Activity_A_ACCEPTED-COMPLETE,agg__Activity_A_CANCELLED-COMPLETE,agg__Activity_A_DECLINED-COMPLETE,agg__Activity_A_FINALIZED-COMPLETE,agg__Activity_A_PARTLYSUBMITTED-COMPLETE,agg__Activity_A_PREACCEPTED-COMPLETE,agg__Activity_A_SUBMITTED-COMPLETE,agg__Activity_O_CANCELLED-COMPLETE,agg__Activity_O_CREATED-COMPLETE,agg__Activity_O_DECLINED-COMPLETE,agg__Activity_O_SELECTED-COMPLETE,agg__Activity_O_SENT-COMPLETE,agg__Activity_O_SENT_BACK-COMPLETE,agg__Activity_W_Afhandelen leads-COMPLETE,agg__Activity_W_Afhandelen leads-SCHEDULE,agg__Activity_W_Afhandelen leads-START,agg__Activity_W_Beoordelen fraude-COMPLETE,agg__Activity_W_Beoordelen fraude-SCHEDULE,agg__Activity_W_Beoordelen fraude-START,agg__Activity_W_Completeren aanvraag-COMPLETE,agg__Activity_W_Completeren aanvraag-SCHEDULE,agg__Activity_W_Completeren aanvraag-START,agg__Activity_W_Nabellen offertes-COMPLETE,agg__Activity_W_Nabellen offertes-SCHEDULE,agg__Activity_W_Nabellen offertes-START,agg__Activity_W_Valideren aanvraag-SCHEDULE,agg__Activity_W_Valideren aanvraag-START,agg__Resource_10138.0,agg__Resource_10188.0,agg__Resource_10228.0,agg__Resource_10609.0,agg__Resource_10629.0,agg__Resource_10779.0,agg__Resource_10789.0,agg__Resource_10809.0,agg__Resource_10859.0,agg__Resource_10861.0,agg__Resource_10862.0,agg__Resource_10863.0,agg__Resource_10880.0,agg__Resource_10881.0,agg__Resource_10889.0,agg__Resource_10899.0,agg__Resource_10909.0,agg__Resource_10910.0,agg__Resource_10912.0,agg__Resource_10913.0,agg__Resource_10914.0,agg__Resource_10929.0,agg__Resource_10931.0,agg__Resource_10932.0,agg__Resource_10933.0,agg__Resource_10935.0,agg__Resource_10939.0,agg__Resource_10971.0,agg__Resource_10972.0,agg__Resource_10982.0,agg__Resource_11000.0,agg__Resource_11001.0,agg__Resource_11002.0,agg__Resource_11003.0,agg__Resource_11009.0,agg__Resource_11019.0,agg__Resource_11029.0,agg__Resource_11049.0,agg__Resource_11111.0,agg__Resource_11119.0,agg__Resource_11120.0,agg__Resource_11121.0,agg__Resource_11122.0,agg__Resource_11169.0,agg__Resource_11179.0,agg__Resource_11180.0,agg__Resource_11181.0,agg__Resource_11189.0,agg__Resource_112.0,agg__Resource_11200.0,agg__Resource_11201.0,agg__Resource_11202.0,agg__Resource_11203.0,agg__Resource_11259.0,agg__Resource_11289.0,agg__Resource_other,agg__hour_mean,agg__hour_max,agg__hour_min,agg__hour_sum,agg__hour_std,agg__weekday_mean,agg__weekday_max,agg__weekday_min,agg__weekday_sum,agg__weekday_std,agg__month_mean,agg__month_max,agg__month_min,agg__month_sum,agg__month_std,agg__timesincemidnight_mean,agg__timesincemidnight_max,agg__timesincemidnight_min,agg__timesincemidnight_sum,agg__timesincemidnight_std,agg__timesincelastevent_mean,agg__timesincelastevent_max,agg__timesincelastevent_min,agg__timesincelastevent_sum,agg__timesincelastevent_std,agg__timesincecasestart_mean,agg__timesincecasestart_max,agg__timesincecasestart_min,agg__timesincecasestart_sum,agg__timesincecasestart_std,agg__event_nr_mean,agg__event_nr_max,agg__event_nr_min,agg__event_nr_sum,agg__event_nr_std,agg__open_cases_mean,agg__open_cases_max,agg__open_cases_min,agg__open_cases_sum,agg__open_cases_std
20000.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.117647058823529,17.0,1.0,172.0,5.453007804656716,4.705882352941177,5.0,0.0,80.0,1.212678125181665,10.0,10.0,10.0,170.0,0.0,643.7647058823529,1052.0,98.0,10944.0,325.05163616950244,800.8019107843137,10329.813266666666,0.0,13613.632483333333,2535.9205634713594,2493.702469607843,13613.632483333333,0.0,42392.94198333333,4524.119966729979,9.0,17.0,1.0,153.0,5.049752469181039,61.529411764705884,348.0,1.0,1046.0,120.68094176746531
5000.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.352941176470589,17.0,9.0,227.0,2.7372700010820146,4.705882352941177,5.0,0.0,80.0,1.212678125181665,10.0,10.0,10.0,170.0,0.0,831.2352941176471,1074.0,548.0,14131.0,175.77952433793473,200.3382362745098,3018.29105,0.0,3405.7500166666664,728.7861098663911,452.36309313725496,3405.750016666667,0.0,7690.172583333334,778.5986755930891,9.0,17.0,1.0,153.0,5.049752469181039,16.41176470588235,71.0,2.0,279.0,15.648717293796846
7000.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,12.352941176470589,14.0,9.0,210.0,2.0898916380577077,1.7647058823529411,5.0,0.0,30.0,2.4629609153594454,10.0,10.0,10.0,170.0,0.0,768.2352941176471,880.0,550.0,13060.0,136.00208151521275,188.80939019607843,2856.0468,0.0,3209.759633333333,689.4593231331116,2081.6537039215686,3209.759633333333,0.0,35388.11296666667,1534.7428501395948,9.0,17.0,1.0,153.0,5.049752469181039,45.470588235294116,69.0,3.0,773.0,30.430489741086205
45000.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.647058823529411,17.0,10.0,215.0,2.0597686906115276,4.705882352941177,5.0,0.0,80.0,1.212678125181665,10.0,10.0,10.0,170.0,0.0,798.4705882352941,1058.0,659.0,13574.0,115.98335960767099,772.6315931372549,10324.9111,0.0,13134.737083333333,2543.617446357899,2087.942394117647,13134.737083333332,0.0,35495.0207,4459.339204525311,9.0,17.0,1.0,153.0,5.049752469181039,63.529411764705884,348.0,8.0,1080.0,119.67357563757487
15000.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,187.0,0.0,5.0,5.0,5.0,85.0,0.0,10.0,10.0,10.0,170.0,0.0,702.2941176470588,706.0,697.0,11939.0,3.255086517328534,0.5426980392156862,3.5587166666666668,0.0,9.225866666666665,0.9993240044991101,5.316114705882352,9.225866666666667,0.0,90.37395,3.348143815867536,9.0,17.0,1.0,153.0,5.049752469181039,9.0,9.0,9.0,153.0,0.0
9000.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.176470588235293,15.0,12.0,207.0,0.727606875108999,4.764705882352941,5.0,1.0,81.0,0.9701425001453319,10.0,10.0,10.0,170.0,0.0,749.5294117647059,944.0,727.0,12742.0,50.626225475363555,266.8590980392157,4511.2698,0.0,4536.604666666667,1093.762802432622,276.6756725490196,4536.604666666667,0.0,4703.4864333333335,1097.7831205771554,9.0,17.0,1.0,153.0,5.049752469181039,16.235294117647058,116.0,10.0,276.0,25.708776253851298
15000.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,15.058823529411764,16.0,13.0,256.0,1.3449251017851391,5.0,5.0,5.0,85.0,0.0,10.0,10.0,10.0,170.0,0.0,938.4117647058823,1000.0,816.0,15953.0,77.35232609909785,10.824647058823528,79.44233333333334,0.0,184.01899999999998,25.456120173817293,122.67635490196078,184.019,0.0,2085.4980333333333,77.20711616002367,9.0,17.0,1.0,153.0,5.049752469181039,16.11764705882353,18.0,12.0,274.0,2.5466240628814965
15000.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,15.764705882352942,17.0,13.0,268.0,1.393261092038472,4.764705882352941,5.0,1.0,81.0,0.9701425001453319,10.0,10.0,10.0,170.0,0.0,964.5294117647059,1025.0,836.0,16397.0,83.26697848416471,253.806294117647,4131.2054,0.0,4314.706999999999,999.7699325256118,377.2130411764706,4314.707,0.0,6412.6217,1017.526393640043,9.0,17.0,1.0,153.0,5.049752469181039,22.058823529411764,105.0,13.0,375.0,21.463546387524403
10000.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.588235294117647,17.0,14.0,265.0,0.9393364366277247,5.0,5.0,5.0,85.0,0.0,10.0,10.0,10.0,170.0,0.0,971.6470588235294,1020.0,852.0,16518.0,68.86485059200244,9.840372549019607,132.4641,0.0,167.28633333333332,31.79142019770884,119.27249803921569,167.28633333333337,0.0,2027.6324666666667,68.7396571877913,9.0,17.0,1.0,153.0,5.049752469181039,17.058823529411764,18.0,14.0,290.0,1.7489492643904132
2000.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.470588235294118,16.0,13.0,263.0,1.007326105267277,5.0,5.0,5.0,85.0,0.0,10.0,10.0,10.0,170.0,0.0,965.8823529411765,1018.0,817.0,16420.0,67.77341140976783,588.0995049019608,9879.132283333332,0.0,9997.691583333333,2394.3111279321724,1244.1287843137254,9997.691583333333,0.0,21150.189333333332,3293.4545759475386,9.058823529411764,18.0,1.0,154.0,5.153525349642879,49.8235294117647,292.0,16.0,847.0,90.967188654837
