static__AMOUNT_REQ,index__hour_0,index__weekday_0,index__month_0,index__timesincemidnight_0,index__timesincelastevent_0,index__timesincecasestart_0,index__event_nr_0,index__open_cases_0,index__hour_1,index__weekday_1,index__month_1,index__timesincemidnight_1,index__timesincelastevent_1,index__timesincecasestart_1,index__event_nr_1,index__open_cases_1,index__hour_2,index__weekday_2,index__month_2,index__timesincemidnight_2,index__timesincelastevent_2,index__timesincecasestart_2,index__event_nr_2,index__open_cases_2,index__hour_3,index__weekday_3,index__month_3,index__timesincemidnight_3,index__timesincelastevent_3,index__timesincecasestart_3,index__event_nr_3,index__open_cases_3,index__Activity_0_A_SUBMITTED-COMPLETE,index__Activity_1_A_PARTLYSUBMITTED-COMPLETE,index__Activity_2_A_PREACCEPTED-COMPLETE,index__Activity_2_W_Afhandelen leads-SCHEDULE,index__Activity_2_W_Beoordelen fraude-SCHEDULE,index__Activity_3_W_Afhandelen leads-START,index__Activity_3_W_Beoordelen fraude-START,index__Activity_3_W_Completeren aanvraag-SCHEDULE,index__Resource_0_112.0,index__Resource_1_112.0,index__Resource_2_112.0,index__Resource_3_10138.0,index__Resource_3_10188.0,index__Resource_3_10228.0,index__Resource_3_10609.0,index__Resource_3_10629.0,index__Resource_3_10809.0,index__Resource_3_10861.0,index__Resource_3_10863.0,index__Resource_3_10881.0,index__Resource_3_10889.0,index__Resource_3_10909.0,index__Resource_3_10910.0,index__Resource_3_10912.0,index__Resource_3_10913.0,index__Resource_3_10914.0,index__Resource_3_10929.0,index__Resource_3_10931.0,index__Resource_3_10932.0,index__Resource_3_10933.0,index__Resource_3_10935.0,index__Resource_3_10939.0,index__Resource_3_10972.0,index__Resource_3_10982.0,index__Resource_3_11000.0,index__Resource_3_11001.0,index__Resource_3_11002.0,index__Resource_3_11003.0,index__Resource_3_11009.0,index__Resource_3_11119.0,index__Resource_3_11121.0,index__Resource_3_11122.0,index__Resource_3_11169.0,index__Resource_3_11179.0,index__Resource_3_11180.0,index__Resource_3_11181.0,index__Resource_3_11189.0,index__Resource_3_112.0,index__Resource_3_11201.0,index__Resource_3_11203.0,index__Resource_3_11259.0,index__Resource_3_other
20000.0,1.0,5.0,10.0,98.0,0.0,0.0,1.0,1.0,1.0,5.0,10.0,98.0,0.0055666666666666,0.0055666666666666,2.0,1.0,1.0,5.0,10.0,99.0,0.8837666666666667,0.8893333333333333,3.0,1.0,1.0,5.0,10.0,99.0,0.01615,0.9054833333333332,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5000.0,9.0,5.0,10.0,548.0,0.0,0.0,1.0,2.0,9.0,5.0,10.0,549.0,0.06565,0.06565,2.0,2.0,9.0,5.0,10.0,549.0,0.90755,0.9732,3.0,2.0,9.0,5.0,10.0,549.0,0.0488333333333333,1.0220333333333331,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7000.0,9.0,5.0,10.0,550.0,0.0,0.0,1.0,3.0,9.0,5.0,10.0,550.0,0.0050666666666666,0.0050666666666666,2.0,3.0,9.0,5.0,10.0,551.0,0.70725,0.7123166666666667,3.0,4.0,9.0,5.0,10.0,551.0,0.0060666666666666,0.7183833333333334,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
45000.0,10.0,5.0,10.0,659.0,0.0,0.0,1.0,8.0,10.0,5.0,10.0,659.0,0.0048,0.0048,2.0,8.0,10.0,5.0,10.0,659.0,0.5319166666666667,0.5367166666666666,3.0,8.0,10.0,5.0,10.0,659.0,0.0062666666666666,0.5429833333333334,4.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15000.0,11.0,5.0,10.0,697.0,0.0,0.0,1.0,9.0,11.0,5.0,10.0,697.0,0.0049,0.0049,2.0,9.0,11.0,5.0,10.0,698.0,0.6885,0.6934,3.0,9.0,11.0,5.0,10.0,698.0,0.0072666666666666,0.7006666666666667,4.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9000.0,12.0,5.0,10.0,727.0,0.0,0.0,1.0,10.0,12.0,5.0,10.0,727.0,0.0108166666666666,0.0108166666666666,2.0,10.0,12.0,5.0,10.0,728.0,0.70275,0.7135666666666667,3.0,10.0,12.0,5.0,10.0,728.0,0.0066833333333333,0.72025,4.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15000.0,13.0,5.0,10.0,816.0,0.0,0.0,1.0,12.0,13.0,5.0,10.0,816.0,0.0044,0.0044,2.0,12.0,13.0,5.0,10.0,816.0,0.8343,0.8387,3.0,12.0,13.0,5.0,10.0,816.0,0.00645,0.84515,4.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15000.0,14.0,5.0,10.0,841.0,0.0,0.0,1.0,14.0,14.0,5.0,10.0,841.0,0.0039833333333333,0.0039833333333333,2.0,14.0,14.0,5.0,10.0,842.0,0.7534166666666666,0.7574,3.0,13.0,14.0,5.0,10.0,842.0,0.0058333333333333,0.7632333333333333,4.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10000.0,14.0,5.0,10.0,852.0,0.0,0.0,1.0,14.0,14.0,5.0,10.0,852.0,0.0033666666666666,0.0033666666666666,2.0,14.0,14.0,5.0,10.0,853.0,0.7209333333333333,0.7243,3.0,14.0,14.0,5.0,10.0,853.0,0.0057,0.73,4.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2000.0,15.0,5.0,10.0,908.0,0.0,0.0,1.0,16.0,15.0,5.0,10.0,908.0,0.0031666666666666,0.0031666666666666,2.0,16.0,15.0,5.0,10.0,908.0,0.2189833333333333,0.22215,3.0,16.0,16.0,5.0,10.0,979.0,71.28798333333333,71.51013333333333,4.0,18.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,15.0,5.0,10.0,909.0,0.0,0.0,1.0,17.0,15.0,5.0,10.0,909.0,0.00365,0.00365,2.0,17.0,15.0,5.0,10.0,910.0,0.77825,0.7819,3.0,17.0,16.0,5.0,10.0,981.0,71.45705,72.23895,4.0,18.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,15.0,5.0,10.0,914.0,0.0,0.0,1.0,18.0,15.0,5.0,10.0,914.0,0.0042666666666666,0.0042666666666666,2.0,18.0,15.0,5.0,10.0,915.0,0.6904833333333333,0.69475,3.0,18.0,15.0,5.0,10.0,915.0,0.00645,0.7012,4.0,18.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
