static__Work_Order_Qty,static__Part_Desc__Adjusting Nut,static__Part_Desc__Ballnut,static__Part_Desc__Barrel,static__Part_Desc__Bearing,static__Part_Desc__Cable Head,static__Part_Desc__Cast,static__Part_Desc__Clamp,static__Part_Desc__Compound Dies,static__Part_Desc__Cutting Wheel,static__Part_Desc__Drill,static__Part_Desc__Drum,static__Part_Desc__Electrical Contact,static__Part_Desc__Fastener,static__Part_Desc__Flange,static__Part_Desc__Flange Bolt,static__Part_Desc__Hinge,static__Part_Desc__Housing,static__Part_Desc__O-Ring,static__Part_Desc__Piston,static__Part_Desc__Plug,static__Part_Desc__Punch Holder,static__Part_Desc__Punch Plate,static__Part_Desc__Slip Ring Adapter,static__Part_Desc__Socket,static__Part_Desc__Spinner,static__Part_Desc__Spur Gear,static__Part_Desc__Wheel Shaft,static__Part_Desc__other,static__Rework_missing,agg__Activity_Final Inspection Q.C.,agg__Activity_Flat Grinding - Machine 11,agg__Activity_Grinding Rework - Machine 27,agg__Activity_Lapping - Machine 1,agg__Activity_Laser Marking - Machine 7,agg__Activity_Milling - Machine 16,agg__Activity_Packing,agg__Activity_Round Grinding - Machine 12,agg__Activity_Round Grinding - Machine 2,agg__Activity_Round Grinding - Machine 3,agg__Activity_Round Grinding - Manual,agg__Activity_Round Grinding - Q.C.,agg__Activity_Turn & Mill. & Screw Assem - Machine 10,agg__Activity_Turning & Milling - Machine 10,agg__Activity_Turning & Milling - Machine 4,agg__Activity_Turning & Milling - Machine 5,agg__Activity_Turning & Milling - Machine 6,agg__Activity_Turning & Milling - Machine 8,agg__Activity_Turning & Milling - Machine 9,agg__Activity_Turning & Milling Q.C.,agg__Activity_Turning - Machine 8,agg__Activity_Turning - Machine 9,agg__Activity_Turning Q.C.,agg__Activity_Wire Cut - Machine 13,agg__Activity_other,agg__Resource_ID0420,agg__Resource_ID0997,agg__Resource_ID0998,agg__Resource_ID3767,agg__Resource_ID3846,agg__Resource_ID4132,agg__Resource_ID4163,agg__Resource_ID4167,agg__Resource_ID4219,agg__Resource_ID4287,agg__Resource_ID4326,agg__Resource_ID4355,agg__Resource_ID4385,agg__Resource_ID4429,agg__Resource_ID4445,agg__Resource_ID4493,agg__Resource_ID4528,agg__Resource_ID4529,agg__Resource_ID4618,agg__Resource_ID4641,agg__Resource_ID4718,agg__Resource_ID4794,agg__Resource_ID4820,agg__Resource_ID4872,agg__Resource_ID4882,agg__Resource_ID4932,agg__Resource_other,agg__Report_Type_B,agg__Report_Type_D,agg__Report_Type_S,agg__Resource.1_Machine 1 - Lapping,agg__Resource.1_Machine 10 - Grinding,agg__Resource.1_Machine 11 - Grinding,agg__Resource.1_Machine 12 - Grinding,agg__Resource.1_Machine 15 - Turning,agg__Resource.1_Machine 16 - Milling,agg__Resource.1_Machine 2 - Round Grinding,agg__Resource.1_Machine 27 - Grinding,agg__Resource.1_Machine 3 - Round Grinding,agg__Resource.1_Machine 4 - Turning & Milling,agg__Resource.1_Machine 5 - Turning & Milling,agg__Resource.1_Machine 6 - Turning & Milling,agg__Resource.1_Machine 7- Laser Marking,agg__Resource.1_Machine 8 - Turning & Milling,agg__Resource.1_Machine 9 - Turning & Milling,agg__Resource.1_Packing,agg__Resource.1_Quality Check 1,agg__Resource.1_Wire Cut - Machine 13,agg__Resource.1_other,agg__Qty_Completed_mean,agg__Qty_Completed_max,agg__Qty_Completed_min,agg__Qty_Completed_sum,agg__Qty_Completed_std,agg__Qty_for_MRB_mean,agg__Qty_for_MRB_max,agg__Qty_for_MRB_min,agg__Qty_for_MRB_sum,agg__Qty_for_MRB_std,agg__activity_duration_mean,agg__activity_duration_max,agg__activity_duration_min,agg__activity_duration_sum,agg__activity_duration_std,agg__hour_mean,agg__hour_max,agg__hour_min,agg__hour_sum,agg__hour_std,agg__weekday_mean,agg__weekday_max,agg__weekday_min,agg__weekday_sum,agg__weekday_std,agg__month_mean,agg__month_max,agg__month_min,agg__month_sum,agg__month_std,agg__timesincemidnight_mean,agg__timesincemidnight_max,agg__timesincemidnight_min,agg__timesincemidnight_sum,agg__timesincemidnight_std,agg__timesincelastevent_mean,agg__timesincelastevent_max,agg__timesincelastevent_min,agg__timesincelastevent_sum,agg__timesincelastevent_std,agg__timesincecasestart_mean,agg__timesincecasestart_max,agg__timesincecasestart_min,agg__timesincecasestart_sum,agg__timesincecasestart_std,agg__event_nr_mean,agg__event_nr_max,agg__event_nr_min,agg__event_nr_sum,agg__event_nr_std,agg__open_cases_mean,agg__open_cases_max,agg__open_cases_min,agg__open_cases_sum,agg__open_cases_std
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,2.6666666666666665,9.0,0.0,24.0,3.5355339059327378,0.0,0.0,0.0,0.0,0.0,170.33333333333334,269.0,50.0,1533.0,72.21149492982401,11.0,21.0,1.0,99.0,7.33143914930759,1.2222222222222223,2.0,0.0,11.0,0.6666666666666666,2.0,2.0,2.0,18.0,0.0,684.0,1269.0,83.0,6156.0,438.45666832652915,252.88888888888889,723.0,0.0,2276.0,232.49324960331882,1175.0,2276.0,0.0,10575.0,730.4274433508095,5.0,9.0,1.0,45.0,2.7386127875258306,21.0,24.0,17.0,189.0,2.39791576165636
52.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,2.4444444444444446,14.0,0.0,22.0,5.0771820705759385,0.0,0.0,0.0,0.0,0.0,196.22222222222223,491.0,34.0,1766.0,150.96090369511057,9.0,16.0,4.0,81.0,3.3911649915626345,3.888888888888889,6.0,1.0,35.0,1.5365907428821481,3.0,3.0,3.0,27.0,0.0,571.8888888888889,998.0,275.0,5147.0,203.32513644680313,802.1111111111111,2738.0,0.0,7219.0,1106.3327307420273,4113.888888888889,7219.0,0.0,37025.0,2187.304530949248,5.0,9.0,1.0,45.0,2.7386127875258306,18.77777777777778,21.0,16.0,169.0,1.481365736219265
251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,11.444444444444445,40.0,0.0,103.0,16.225836735828995,0.0,0.0,0.0,0.0,0.0,197.11111111111111,619.0,15.0,1774.0,203.0353691136377,13.444444444444445,23.0,6.0,121.0,6.654154925892376,1.6666666666666667,3.0,1.0,15.0,0.7071067811865476,1.0,1.0,1.0,9.0,0.0,829.7777777777778,1423.0,389.0,7468.0,399.33719391567377,289.3333333333333,631.0,0.0,2604.0,261.7365087258558,1124.7777777777778,2604.0,0.0,10123.0,897.4576282167557,5.0,9.0,1.0,45.0,2.7386127875258306,35.22222222222222,37.0,32.0,317.0,1.9220937657784662
500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.777777777777779,36.0,0.0,115.0,13.571825391024024,0.0,0.0,0.0,0.0,0.0,319.3333333333333,686.0,31.0,2874.0,230.44956064180292,8.333333333333334,15.0,0.0,75.0,4.55521678957215,4.222222222222222,6.0,3.0,38.0,1.3944333775567925,3.0,3.0,3.0,27.0,0.0,534.8888888888889,946.0,26.0,4814.0,275.8017605293902,488.44444444444446,2139.0,0.0,4396.0,672.0162035083513,1899.888888888889,4396.0,0.0,17099.0,1838.6371613537867,5.0,9.0,1.0,45.0,2.7386127875258306,16.77777777777778,17.0,16.0,151.0,0.4409585518440983
90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,25.333333333333332,90.0,0.0,228.0,31.73326330524486,0.0,0.0,0.0,0.0,0.0,161.44444444444446,384.0,50.0,1453.0,136.7133050503051,10.222222222222221,16.0,1.0,92.0,4.737556801183965,1.4444444444444444,4.0,0.0,13.0,1.2360330811826103,3.0,3.0,3.0,27.0,0.0,644.2222222222222,961.0,75.0,5798.0,287.10267230460335,541.5555555555555,3004.0,0.0,4874.0,968.2045381931329,1763.2222222222222,4874.0,0.0,15869.0,1656.269285003029,5.0,9.0,1.0,45.0,2.7386127875258306,19.88888888888889,21.0,19.0,179.0,0.9279607271383369
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.888888888888889,19.0,0.0,62.0,8.637772346566626,0.0,0.0,0.0,0.0,0.0,216.44444444444446,418.0,54.0,1948.0,150.50756717779268,12.777777777777779,23.0,6.0,115.0,6.437735971942656,1.3333333333333333,6.0,0.0,12.0,1.9364916731037085,1.0,1.0,1.0,9.0,0.0,803.2222222222222,1420.0,397.0,7229.0,383.8270371462183,387.77777777777777,1237.0,0.0,3490.0,383.0945633188292,1623.2222222222222,3490.0,0.0,14609.0,1233.597663115671,5.0,9.0,1.0,45.0,2.7386127875258306,31.88888888888889,36.0,29.0,287.0,2.522124325070259
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,8.0,12.0,0.0,72.0,5.522680508593631,0.0,0.0,0.0,0.0,0.0,153.44444444444446,321.0,60.0,1381.0,103.51341834650123,12.444444444444445,17.0,8.0,112.0,2.650995620097811,2.2222222222222223,6.0,0.0,20.0,2.3333333333333335,3.0,3.0,3.0,27.0,0.0,782.7777777777778,1079.0,519.0,7045.0,170.1571169373895,475.22222222222223,2443.0,0.0,4277.0,812.2162239480596,2405.777777777778,4277.0,0.0,21652.0,1782.4907978568765,5.0,9.0,1.0,45.0,2.7386127875258306,18.77777777777778,21.0,17.0,169.0,1.481365736219264
290.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.11111111111111,61.0,0.0,163.0,24.069921294244214,0.0,0.0,0.0,0.0,0.0,239.77777777777777,634.0,45.0,2158.0,206.32000495454736,11.444444444444445,22.0,0.0,103.0,8.00173592277187,2.2222222222222223,6.0,0.0,20.0,2.8625940062196116,3.0,3.0,3.0,27.0,0.0,709.5555555555555,1374.0,12.0,6386.0,486.45326371376905,226.77777777777777,635.0,0.0,2041.0,229.75790398688014,1075.5555555555557,2041.0,0.0,9680.0,825.4918399219812,5.0,9.0,1.0,45.0,2.7386127875258306,18.77777777777778,20.0,18.0,169.0,0.8333333333333337
69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,7.111111111111111,15.0,0.0,64.0,6.900080514828151,0.0,0.0,0.0,0.0,0.0,303.1111111111111,587.0,46.0,2728.0,187.86593919897004,13.88888888888889,23.0,6.0,125.0,6.213783960769083,4.222222222222222,6.0,3.0,38.0,1.3944333775567925,1.0,1.0,1.0,9.0,0.0,869.5555555555555,1425.0,378.0,7826.0,386.0285323363777,591.6666666666666,3067.0,0.0,5325.0,949.2312679215745,2209.5555555555557,5325.0,0.0,19886.0,2269.224102590526,5.0,9.0,1.0,45.0,2.7386127875258306,32.44444444444444,34.0,30.0,292.0,1.130388330520878
48.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,21.333333333333332,48.0,0.0,192.0,19.576771950451892,0.0,0.0,0.0,0.0,0.0,115.0,391.0,21.0,1035.0,130.94559939150304,11.777777777777779,17.0,8.0,106.0,2.862594006219611,3.6666666666666665,6.0,1.0,33.0,2.179449471770337,1.0,1.0,1.0,9.0,0.0,740.0,1020.0,492.0,6660.0,172.13512134367002,630.7777777777778,2766.0,0.0,5677.0,1099.6782231382253,2904.0,5677.0,0.0,26136.0,2407.3617301934496,5.0,9.0,1.0,45.0,2.7386127875258306,24.333333333333332,29.0,21.0,219.0,3.4999999999999996
