sepal_length,sepal_width,petal_length,petal_width,Result
"(5.3100000000000005, 6.36]","(1.99, 2.2]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.3100000000000005, 6.36]","(1.99, 2.2]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(6.36, 7.1]","(1.99, 2.2]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(6.36, 7.1]","(1.99, 2.2]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.3100000000000005, 6.36]","(1.99, 2.2]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(6.36, 7.1]","(1.99, 2.2]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.3100000000000005, 6.36]","(1.99, 2.2]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.3100000000000005, 6.36]","(1.99, 2.2]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(6.36, 7.1]","(1.99, 2.2]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(6.36, 7.1]","(1.99, 2.2]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.3100000000000005, 6.36]","(1.99, 2.2]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.3100000000000005, 6.36]","(1.99, 2.2]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.3100000000000005, 6.36]","(1.99, 2.2]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.3100000000000005, 6.36]","(1.99, 2.2]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.3100000000000005, 6.36]","(1.99, 2.2]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(6.36, 7.1]","(1.99, 2.2]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(6.36, 7.1]","(1.99, 2.2]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(6.36, 7.1]","(1.99, 2.2]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.3100000000000005, 6.36]","(1.99, 2.2]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.3100000000000005, 6.36]","(1.99, 2.2]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(6.36, 7.1]","(1.99, 2.2]","(3.1, 4.5]","(0.9, 1.5]",Negative
