Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;SHAP Subset Stability.1;SHAP Weight Stability.1;SHAP Adjusted Weight Stability.1;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability
914.0;1.0;1.0;1.0;0.990975558757782;1.0;0.9999999999999872;0.9999999999999872;1.0;0.9999999999999872;0.9999999999999872;0.08557491289198604;-6.768688631572856;-6.768688631572856
1018.0;0.0;1.0;0.0;0.9999467134475708;1.0;1.0;1.0;1.0;1.0;1.0;0.059691473131039174;0.41029015180871964;0.41029015180871964
1034.0;0.0;1.0;1.0;0.9999996423721312;1.0;1.0;1.0;1.0;1.0;1.0;0.06993015403912395;0.4653033942695275;0.4653033942695275
1048.0;0.0;1.0;0.0;0.9583804607391356;1.0;1.0;1.0;1.0;1.0;1.0;0.0732265446224255;0.43305099133827507;0.43305099133827507
1106.0;0.0;1.0;1.0;0.9984323382377625;1.0;0.9999999999999952;0.9999999999999952;1.0;0.9999999999999952;0.9999999999999952;0.06498082717158205;0.25655544809585296;0.25655544809585296
1115.0;1.0;1.0;1.0;0.9782760739326476;1.0;0.9999999999999949;0.9999999999999949;1.0;0.9999999999999949;0.9999999999999949;0.07394181326672877;0.32863703445788917;0.32863703445788917
1117.0;1.0;1.0;0.0;0.9000053405761719;1.0;0.9999999999999996;0.9999999999999996;1.0;0.9999999999999996;0.9999999999999996;0.8331015299026425;0.31235263682238634;0.31235263682238634
1122.0;1.0;1.0;0.0;0.8937360048294067;1.0;0.9999999999999998;0.9999999999999998;1.0;0.9999999999999998;0.9999999999999998;0.8331015299026425;0.3363184683292175;0.3363184683292175
1008_2;1.0;2.0;0.0;0.6756336;1.0;1.0;1.0;1.0;1.0;1.0;0.05578144951912867;0.46314343842676475;0.46314343842676475
1039_2;0.0;2.0;1.0;0.92783785;1.0;1.0;1.0;1.0;1.0;1.0;0.498868778280543;-4.937801705050169;-4.937801705050169
1083_2;1.0;2.0;0.0;0.9965894000000001;1.0;1.0;1.0;1.0;1.0;1.0;0.05804489531447232;0.22989604022097143;0.22989604022097143
1092_2;0.0;2.0;0.0;0.6628895;1.0;0.9999999999999996;0.9999999999999996;1.0;0.9999999999999996;0.9999999999999996;0.07899575267032233;0.34278520427590276;0.34278520427590276
936_2;0.0;2.0;0.0;0.99944454;1.0;1.0;1.0;1.0;1.0;1.0;0.06195843042256255;0.25897256465212193;0.25897256465212193
942_2;1.0;2.0;1.0;0.91771066;1.0;1.0;1.0;1.0;1.0;1.0;0.5546507828796903;-1.7861276348375652;-1.7861276348375652
979_2;0.0;2.0;0.0;0.9923759;1.0;1.0;1.0;1.0;1.0;1.0;0.498868778280543;0.5516047163531099;0.5516047163531099
990_2;1.0;2.0;1.0;0.5748225;1.0;0.9999999999999808;0.9999999999999808;1.0;0.9999999999999808;0.9999999999999808;0.0778383783292429;0.4279318170283576;0.4279318170283576
1040_3;1.0;3.0;1.0;0.9715859;1.0;0.999999999999926;0.999999999999926;1.0;0.999999999999926;0.999999999999926;0.11699323732709899;0.6856738390311767;0.6856738390311767
1084_3;0.0;3.0;1.0;0.8125127;1.0;0.999999999999926;0.999999999999926;1.0;0.999999999999926;0.999999999999926;0.11597415531789412;0.45442674339124356;0.45442674339124356
933_3;0.0;3.0;0.0;0.98660576;1.0;0.9999999999999958;0.9999999999999958;1.0;0.9999999999999958;0.9999999999999958;0.05635532521588693;0.5916742477489768;0.5916742477489768
945_3;0.0;3.0;0.0;0.6242519;1.0;0.9999999999999988;0.9999999999999988;1.0;0.9999999999999988;0.9999999999999988;0.07602136869036302;0.6064803938685284;0.6064803938685284
954_3;1.0;3.0;0.0;0.5239176;1.0;0.9999999999999316;0.9999999999999316;1.0;0.9999999999999316;0.9999999999999316;0.1110671207913917;0.3634149176392397;0.3634149176392397
974_3;0.0;3.0;0.0;0.7939371000000001;1.0;0.9999999999999636;0.9999999999999636;1.0;0.9999999999999636;0.9999999999999636;0.08726802746033235;0.3986183550227499;0.3986183550227499
980_3;1.0;3.0;1.0;0.88152194;1.0;0.9999999999999596;0.9999999999999596;1.0;0.9999999999999596;0.9999999999999596;0.12049299719887929;0.7602997022416004;0.7602997022416004
991_3;1.0;3.0;1.0;0.78435564;1.0;0.9999999999998472;0.9999999999998472;1.0;0.9999999999998472;0.9999999999998472;0.12196792331398842;0.7277360507665331;0.7277360507665331
1020_4;1.0;4.0;0.0;0.6347633;1.0;0.9999999999999316;0.9999999999999316;1.0;0.9999999999999316;0.9999999999999316;0.9086387273138347;0.2626511560210081;0.2626511560210081
1084_4;0.0;4.0;1.0;0.91059214;1.0;0.999999999999848;0.999999999999848;1.0;0.999999999999848;0.999999999999848;0.9088653790954196;0.5556238793057976;0.5556238793057976
1101_4;0.0;4.0;1.0;0.6990566999999999;1.0;0.9999999999999992;0.9999999999999992;1.0;0.9999999999999992;0.9999999999999992;0.5744338259613209;0.5106706509550882;0.5106706509550882
1121_4;1.0;4.0;1.0;0.9881761;1.0;0.9999999999999316;0.9999999999999316;1.0;0.9999999999999316;0.9999999999999316;0.9521549125979506;0.6788801240327699;0.6788801240327699
929_4;1.0;4.0;1.0;0.88497025;1.0;0.9999999999999988;0.9999999999999988;1.0;0.9999999999999988;0.9999999999999988;0.9521549125979506;0.44998343180138933;0.44998343180138933
958_4;0.0;4.0;0.0;0.9856865;1.0;1.0;1.0;1.0;1.0;1.0;0.04683811102123503;0.473542700591707;0.473542700591707
967_4;0.0;4.0;0.0;0.99761474;1.0;0.9999999999998832;0.9999999999998832;1.0;0.9999999999998832;0.9999999999998832;0.1669790104947524;0.5357411757510387;0.5357411757510387
969_4;1.0;4.0;1.0;0.6401197;1.0;1.0;1.0;1.0;1.0;1.0;0.24794191919191888;0.507914713087962;0.507914713087962
1002_5;1.0;5.0;1.0;0.86123633;1.0;0.999999999999708;0.999999999999708;1.0;0.999999999999708;0.999999999999708;1.0;0.6669049043798498;0.6669049043798498
