sepal_length,sepal_width,petal_length,petal_width,Result
"(5.11, 6.16]","(2.29, 2.9]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.11, 6.16]","(2.29, 2.9]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(6.16, 6.9]","(2.29, 2.9]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(6.16, 6.9]","(2.29, 2.9]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.11, 6.16]","(2.29, 2.9]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(6.16, 6.9]","(2.29, 2.9]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.11, 6.16]","(2.29, 2.9]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.11, 6.16]","(2.29, 2.9]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(6.16, 6.9]","(2.29, 2.9]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(6.16, 6.9]","(2.29, 2.9]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.11, 6.16]","(2.29, 2.9]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.11, 6.16]","(2.29, 2.9]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.11, 6.16]","(2.29, 2.9]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.11, 6.16]","(2.29, 2.9]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.11, 6.16]","(2.29, 2.9]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(6.16, 6.9]","(2.29, 2.9]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(6.16, 6.9]","(2.29, 2.9]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(6.16, 6.9]","(2.29, 2.9]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.11, 6.16]","(2.29, 2.9]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.11, 6.16]","(2.29, 2.9]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(6.16, 6.9]","(2.29, 2.9]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(6.16, 6.9]","(2.29, 2.9]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.11, 6.16]","(2.29, 2.9]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(6.16, 6.9]","(2.29, 2.9]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(6.16, 6.9]","(2.29, 2.9]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.11, 6.16]","(2.29, 2.9]","(3.1, 4.5]","(0.9, 1.5]",Negative
