Actual;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability;ACV Subset Stability;ACV Weight Stability;ACV Adjusted Weight Stability;LINDA Subset Stability;LINDA Weight Stability;LINDA Adjusted Weight Stability
0;0;0.9992914;1;1;1;1;0.996939895;0.996939895;1.0;1.0;1.0;;1.0;1.0
0;0;0.9999216;1;1;1;1;0.995437017;0.995437017;1.0;1.0;1.0;;1.0;1.0
0;0;0.9992914;1;1;1;1;0.973775225;0.973775225;1.0;1.0;1.0;;1.0;1.0
0;0;0.9992914;1;1;1;1;0.996741115;0.996741115;1.0;1.0;1.0;;1.0;1.0
0;0;0.9999216;1;1;1;1;0.986383048;0.986383048;1.0;1.0;1.0;;1.0;1.0
0;0;0.99971557;1;1;1;1;0.994323213;0.994323213;1.0;1.0;1.0;;1.0;1.0
0;0;0.9999177;1;1;1;1;0.994160537;0.994160537;1.0;1.0;1.0;;1.0;1.0
0;0;0.9999216;1;1;1;1;0.998163628;0.998163628;1.0;1.0;1.0;;1.0;1.0
0;0;0.9950139;1;1;1;1;0.995745424;0.995745424;1.0;1.0;1.0;;1.0;1.0
0;0;0.9999216;1;1;1;1;0.98599077;0.98599077;1.0;1.0;1.0;;1.0;1.0
0;0;0.9999216;1;1;1;1;0.95426058;0.95426058;1.0;1.0;1.0;;1.0;1.0
0;0;0.9999216;1;1;1;1;0.997051997;0.997051997;1.0;1.0;1.0;;1.0;1.0
0;0;0.9934054;1;1;1;1;0.994771263;0.994771263;1.0;1.0;1.0;1.0;1.0;1.0
1;1;0.99990964;1;1;1;1;0.993139484;0.993139484;1.0;1.0;1.0;;1.0;1.0
1;1;0.99783903;1;1;1;1;0.997116281;0.997116281;1.0;1.0;1.0;;1.0;1.0
1;1;0.9997485;1;1;1;1;0.994778583;0.994778583;1.0;1.0;1.0;;1.0;1.0
1;1;0.99990964;1;1;1;1;0.997091919;0.997091919;1.0;1.0;1.0;;1.0;1.0
1;1;0.9998667;1;1;1;1;0.995156243;0.995156243;1.0;1.0;1.0;1.0;1.0;1.0
1;1;0.99990964;1;1;1;1;0.997506074;0.997506074;1.0;1.0;1.0;;1.0;1.0
1;1;0.99783903;1;1;1;1;0.995366688;0.995366688;1.0;1.0;1.0;;1.0;1.0
1;1;0.99783903;1;1;1;1;0.990194797;0.990194797;1.0;1.0;1.0;;1.0;1.0
1;1;0.9998667;1;1;1;1;0.992107957;0.992107957;1.0;1.0;1.0;;1.0;1.0
1;1;0.9998235;1;1;1;1;0.994184785;0.994184785;1.0;1.0;1.0;;1.0;1.0
1;1;0.9998235;1;1;1;1;0.996821178;0.996821178;1.0;1.0;1.0;1.0;1.0;1.0
1;1;0.9998667;1;1;1;1;0.996952613;0.996952613;1.0;1.0;1.0;;1.0;1.0
1;1;0.9998667;1;1;1;1;0.993012962;0.993012962;1.0;1.0;1.0;;1.0;1.0
