sepal_length,sepal_width,petal_length,petal_width,Result
"(4.3100000000000005, 5.24]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(4.3100000000000005, 5.24]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Positive
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(4.3100000000000005, 5.24]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Positive
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(4.3100000000000005, 5.24]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(4.3100000000000005, 5.24]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Positive
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(4.3100000000000005, 5.24]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Positive
"(4.3100000000000005, 5.24]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Positive
"(4.3100000000000005, 5.24]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Positive
"(4.3100000000000005, 5.24]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(4.3100000000000005, 5.24]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(4.3100000000000005, 5.24]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(4.3100000000000005, 5.24]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Positive
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(4.3100000000000005, 5.24]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(4.3100000000000005, 5.24]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Positive
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(4.3100000000000005, 5.24]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Positive
"(4.3100000000000005, 5.24]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(4.3100000000000005, 5.24]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Positive
"(4.3100000000000005, 5.24]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Positive
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(4.3100000000000005, 5.24]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Positive
"(4.3100000000000005, 5.24]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Positive
"(4.3100000000000005, 5.24]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Positive
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(4.3100000000000005, 5.24]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(4.3100000000000005, 5.24]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(4.3100000000000005, 5.24]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(4.3100000000000005, 5.24]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(4.3100000000000005, 5.24]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(4.3100000000000005, 5.24]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Positive
"(4.3100000000000005, 5.24]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Positive
"(4.3100000000000005, 5.24]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Positive
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(4.3100000000000005, 5.24]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(4.3100000000000005, 5.24]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Positive
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(4.3100000000000005, 5.24]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Positive
"(4.3100000000000005, 5.24]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Positive
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
"(5.24, 5.9]","(1.99, 2.3]","(1.9, 3.3]","(0.39999999999999997, 1.0]",Negative
