sepal_length,sepal_width,petal_length,petal_width,Result
"(5.8100000000000005, 6.86]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(5.8100000000000005, 6.86]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(5.8100000000000005, 6.86]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(5.8100000000000005, 6.86]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(5.8100000000000005, 6.86]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(5.8100000000000005, 6.86]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(5.8100000000000005, 6.86]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(5.8100000000000005, 6.86]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(5.8100000000000005, 6.86]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(5.8100000000000005, 6.86]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(5.8100000000000005, 6.86]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(5.8100000000000005, 6.86]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(5.8100000000000005, 6.86]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(5.8100000000000005, 6.86]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(5.8100000000000005, 6.86]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(5.8100000000000005, 6.86]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(5.8100000000000005, 6.86]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(5.8100000000000005, 6.86]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(5.8100000000000005, 6.86]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(5.8100000000000005, 6.86]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(5.8100000000000005, 6.86]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(5.8100000000000005, 6.86]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(5.8100000000000005, 6.86]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(5.8100000000000005, 6.86]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(5.8100000000000005, 6.86]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(5.8100000000000005, 6.86]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(5.8100000000000005, 6.86]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(5.8100000000000005, 6.86]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(5.8100000000000005, 6.86]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(5.8100000000000005, 6.86]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(5.8100000000000005, 6.86]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
"(6.86, 7.6]","(2.6900000000000004, 3.3]","(4.3, 5.7]","(1.9, 2.5]",Negative
