Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability;ACV Subset Stability;ACV Weight Stability;ACV Adjusted Weight Stability
Case127;1;1;1;0.9999700019705444;0.8097324723247232;0.8140123348677811;0.8140123348677811;0.9488636363636364;0.9904621751146454;0.9904621751146454;;1.0;1.0
Case188;1;1;1;1.0;0.3944954128440367;0.9647201376489172;0.9647201376489172;0.9057519849203176;0.9927574486649872;0.9927574486649872;;1.0;1.0
Case21;1;1;1;1.0;0.6382530912917653;0.8972991894686773;0.8972991894686773;0.9262678106327562;0.9910056505275688;0.9910056505275688;;1.0;1.0
Case236;0;1;0;1.0;1.0;0.9935131081605352;0.9935131081605352;0.9769565946036536;0.994599547779566;0.994599547779566;;1.0;1.0
Case252;0;1;1;0.9995349382348621;0.5787377450980393;0.9748031863953022;0.9748031863953022;0.9488636363636364;0.9930783952496514;0.9930783952496514;;1.0;1.0
Case39;0;1;1;0.9999368206974101;0.494485294117647;0.9520883505632748;0.9520883505632748;0.9890751628793898;0.990935564348142;0.990935564348142;;1.0;1.0
Case42;1;1;1;0.9752656150567216;0.7463099630996309;0.9561250848825786;0.9561250848825786;0.9663649706457924;0.98940309542009;0.98940309542009;;1.0;1.0
Case97;0;1;0;0.9999999999998579;1.0;0.9923904718951287;0.9923904718951287;0.9889344921937872;0.9927864688812889;0.9927864688812889;;1.0;1.0
Case109_2;1;2;1;1.0;1.0;0.8694104294183411;0.8694104294183411;0.9544700460829492;0.9816632637508051;0.9816632637508051;;1.0;1.0
Case195_2;0;2;0;1.0;1.0;0.7943779859466966;0.7943779859466966;0.9060522151898734;0.9795239831421716;0.9795239831421716;;1.0;1.0
Case199_2;1;2;1;1.0;1.0;0.790427803117679;0.790427803117679;0.8928436281073528;0.9852477566643016;0.9852477566643016;;1.0;1.0
Case219_2;1;2;1;1.0;0.832274011299435;0.7124887782313413;0.7124887782313413;0.8819625642262519;0.9822441123992236;0.9822441123992236;;1.0;1.0
Case240_2;1;2;1;0.9999999999999148;0.7121648235115892;0.7805227314995975;0.7805227314995975;0.927003934103762;0.9817206762227249;0.9817206762227249;;1.0;1.0
Case274_2;0;2;0;1.0;0.7841236176336919;0.9596076414570024;0.9596076414570024;0.9164506236569008;0.9103407322602326;0.9103407322602326;;1.0;1.0
Case39_2;0;2;1;0.6631226741368845;0.6402060293894865;0.494029207313031;0.494029207313031;0.890505901155643;0.9802990601576566;0.9802990601576566;;1.0;1.0
Case60_2;0;2;1;1.0;0.32909604519774016;0.4075858794819691;0.4075858794819691;0.902832811825228;0.9858451730004771;0.9858451730004771;;1.0;1.0
Case118_3;1;3;1;1.0;1.0;0.963482073226778;0.963482073226778;0.9342040170179085;0.9844648606476616;0.9844648606476616;;1.0;1.0
Case125_3;0;3;1;1.0;0.5814451158106748;0.7826602069395782;0.7826602069395782;0.9160441263539164;0.9786375569593186;0.9786375569593186;;1.0;1.0
Case127_3;1;3;1;1.0;0.5984905660377359;0.8985974339834716;0.8985974339834716;0.9427861017547031;0.982624386757396;0.982624386757396;;1.0;1.0
Case248_3;1;3;1;1.0;0.8325780463242698;0.8287979356737555;0.8287979356737555;0.960869364200722;0.9551831084546896;0.9551831084546896;;1.0;1.0
Case34_3;0;3;1;1.0;0.5814451158106748;0.9170770641513312;0.9170770641513312;0.900365312498623;0.9758599803264169;0.9758599803264169;;1.0;1.0
Case87_3;1;3;1;1.0;0.3303121852970795;0.8930162679770811;0.8930162679770811;0.9109672459662096;0.9701099195942471;0.9701099195942471;;1.0;1.0
Case90_3;0;3;0;1.0;0.7845804988662132;0.9297317483268046;0.9297317483268046;0.9487093788564376;0.9726888901559;0.9726888901559;;1.0;1.0
Case99_3;0;3;1;1.0;0.7845804988662132;0.9312209750994676;0.9312209750994676;0.8617869648706653;0.9392748505962234;0.9392748505962234;;1.0;1.0
Case111_4;1;4;1;1.0;1.0;0.7369515094504313;0.7369515094504313;;1.0;1.0;;1.0;1.0
Case188_4;1;4;1;1.0;1.0;0.8122019146796824;0.8122019146796824;;1.0;1.0;;1.0;1.0
Case190_4;0;4;0;1.0;1.0;0.985279199264123;0.985279199264123;;1.0;1.0;;1.0;1.0
Case210_4;0;4;1;1.0;0.8327447518147929;0.7908463841945221;0.7908463841945221;;1.0;1.0;;1.0;1.0
Case225_4;1;4;1;1.0;1.0;0.827280777951652;0.827280777951652;;1.0;1.0;;1.0;1.0
Case236_4;0;4;0;1.0;1.0;0.4719335546640932;0.4719335546640932;;1.0;1.0;;1.0;1.0
Case242_4;1;4;1;1.0;1.0;0.8457261777027998;0.8457261777027998;;1.0;1.0;;1.0;1.0
Case72_4;0;4;0;1.0;1.0;0.8848895120131;0.8848895120131;;1.0;1.0;;1.0;1.0
Case100_5;0;5;0;1.0;1.0;0.7807033445628238;0.7807033445628238;;1.0;1.0;;1.0;1.0
Case110_5;1;5;1;1.0;1.0;0.9849338864934644;0.9849338864934644;;1.0;1.0;;1.0;1.0
Case211_5;0;5;0;1.0;1.0;0.98412598028338;0.98412598028338;;1.0;1.0;;1.0;1.0
Case240_5;1;5;1;1.0;1.0;0.9958584726835832;0.9958584726835832;;1.0;1.0;;1.0;1.0
Case33_5;1;5;1;1.0;1.0;0.917335972815038;0.917335972815038;;1.0;1.0;;1.0;1.0
Case58_5;0;5;0;1.0;1.0;0.9929558171316528;0.9929558171316528;;1.0;1.0;;1.0;1.0
Case70_5;1;5;1;1.0;1.0;0.9916317899330296;0.9916317899330296;;1.0;1.0;;1.0;1.0
Case96_5;0;5;0;1.0;1.0;0.8685696921604776;0.8685696921604776;;1.0;1.0;;1.0;1.0
Case12_6;0;6;0;1.0;1.0;0.7574921195863435;0.7574921195863435;;1.0;1.0;;1.0;1.0
Case18_6;1;6;1;1.0;1.0;0.976950502998956;0.976950502998956;;1.0;1.0;;1.0;1.0
Case207_6;1;6;1;1.0;1.0;0.8981892972805768;0.8981892972805768;;1.0;1.0;;1.0;1.0
Case208_6;1;6;1;1.0;1.0;0.7616172006172387;0.7616172006172387;;1.0;1.0;;1.0;1.0
Case254_6;0;6;0;1.0;1.0;0.9982202521736356;0.9982202521736356;;1.0;1.0;;1.0;1.0
Case268_6;1;6;1;1.0;1.0;0.9476495809006862;0.9476495809006862;;1.0;1.0;;1.0;1.0
Case56_6;0;6;0;1.0;1.0;0.9974211279507004;0.9974211279507004;;1.0;1.0;;1.0;1.0
Case62_6;0;6;0;1.0;1.0;0.997550457626562;0.997550457626562;;1.0;1.0;;1.0;1.0
Case19_7;1;7;0;1.0;1.0;0.9847023930688222;0.9847023930688222;;1.0;1.0;;1.0;1.0
Case264_7;1;7;1;1.0;1.0;0.9668205155563178;0.9668205155563178;;1.0;1.0;;1.0;1.0
Case63_7;1;7;1;1.0;1.0;0.9759744338515676;0.9759744338515676;;1.0;1.0;;1.0;1.0
Case64_7;0;7;1;1.0;1.0;0.8622833045454485;0.8622833045454485;;1.0;1.0;;1.0;1.0
Case6_7;1;7;0;1.0;1.0;0.9900997410802092;0.9900997410802092;;1.0;1.0;;1.0;1.0
Case89_7;0;7;0;1.0;1.0;0.8224257088931959;0.8224257088931959;;1.0;1.0;;1.0;1.0
Case96_7;0;7;0;1.0;1.0;0.9836196087372842;0.9836196087372842;;1.0;1.0;;1.0;1.0
Case99_7;0;7;1;1.0;1.0;0.8657314775867456;0.8657314775867456;;1.0;1.0;;1.0;1.0
Case115_8;1;8;1;1.0;1.0;0.9703189312246718;0.9703189312246718;;1.0;1.0;;1.0;1.0
Case119_8;0;8;1;1.0;1.0;0.8552523328573449;0.8552523328573449;;1.0;1.0;;1.0;1.0
Case127_8;1;8;1;1.0;1.0;0.9634964333582309;0.9634964333582309;;1.0;1.0;;1.0;1.0
Case251_8;0;8;0;1.0;1.0;0.9385891428036296;0.9385891428036296;;1.0;1.0;;1.0;1.0
Case27_8;0;8;0;1.0;1.0;0.9656715291073408;0.9656715291073408;;1.0;1.0;;1.0;1.0
Case28_8;1;8;1;1.0;1.0;0.9797220197577352;0.9797220197577352;;1.0;1.0;;1.0;1.0
Case61_8;1;8;1;1.0;1.0;0.9789439215809232;0.9789439215809232;;1.0;1.0;;1.0;1.0
