Actual;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability;ACV Subset Stability;ACV Weight Stability;ACV Adjusted Weight Stability;LINDA Subset Stability;LINDA Weight Stability;LINDA Adjusted Weight Stability
0;0;0.9999845;1;1;1;1;0.986589014;0.986589014;1.0;1.0;1.0;;1.0;1.0
0;0;0.9999862;1;1;1;1;0.940825954;0.940825954;1.0;1.0;1.0;;1.0;1.0
0;0;0.9999861;1;1;1;1;0.988042245;0.988042245;1.0;1.0;1.0;;1.0;1.0
0;0;0.9999857;1;1;1;1;0.963010975;0.963010975;1.0;1.0;1.0;;1.0;1.0
0;0;0.9999847;1;1;1;1;0.984206008;0.984206008;1.0;1.0;1.0;;1.0;1.0
0;0;0.9999845;1;1;1;1;0.989599466;0.989599466;1.0;1.0;1.0;;1.0;1.0
0;0;0.9999861;1;1;1;1;0.618376744;0.618376744;1.0;1.0;1.0;;1.0;1.0
0;0;0.9999848;1;1;1;1;0.976322023;0.976322023;1.0;1.0;1.0;;1.0;1.0
0;0;0.9999853;1;1;1;1;0.931103066;0.931103066;1.0;1.0;1.0;;1.0;1.0
0;0;0.9999845;1;1;1;1;0.986434051;0.986434051;1.0;1.0;1.0;;1.0;1.0
0;0;0.9999855;1;1;1;1;0.98458348;0.98458348;1.0;1.0;1.0;;1.0;1.0
0;0;0.99998456;1;1;1;1;0.978156412;0.978156412;1.0;1.0;1.0;;1.0;1.0
0;0;0.9999852;1;1;1;1;0.960416179;0.960416179;1.0;1.0;1.0;;1.0;1.0
0;0;0.99998605;1;1;1;1;0.978249637;0.978249637;1.0;1.0;1.0;;1.0;1.0
0;0;0.9999846;1;1;1;1;0.968241312;0.968241312;1.0;1.0;1.0;;1.0;1.0
0;0;0.99998516;1;1;1;1;0.8312381959999999;0.8312381959999999;1.0;1.0;1.0;;1.0;1.0
0;0;0.9999854;1;1;1;1;0.985321645;0.985321645;1.0;1.0;1.0;;1.0;1.0
