"Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability";LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability
"204924;1;1;1;0.57975376;1;1;1";1.0;0.9985067061888879;0.9985067061888879
"205601;0;1;0;0.98813903;1;1;1";1.0;0.9980109368687515;0.9980109368687515
"205640;1;1;0;0.9507889;1;1;1";1.0;0.9954978026409599;0.9954978026409599
"206315;0;1;1;0.9699415;1;1;1";1.0;0.9895282924875028;0.9895282924875028
"209520;0;1;0;0.99826;1;1;1";1.0;0.9960732548503389;0.9960732548503389
"210668;0;1;1;0.99739695;1;1;1";1.0;0.997003163221571;0.997003163221571
"211098;1;1;1;0.81677455;1;1;1";1.0;0.9953612324264616;0.9953612324264616
"211408;1;1;1;0.9641788;1;1;1";1.0;0.997229123039244;0.997229123039244
"204481_12;0;12;1;0.97241646;1;1;1";1.0;0.9978244481750356;0.9978244481750356
"204484_5;0;5;0;0.8568231;1;1;1";1.0;0.9945388695311104;0.9945388695311104
"204628_10;1;10;1;0.7636819;1;1;1";0.49494949494949503;0.9982221637458218;0.9982221637458218
"204685_6;0;6;0;0.9704352;1;1;1";0.07435662699623635;0.9933108159136586;0.9933108159136586
"204859_3;1;3;0;0.76323926;1;1;1";-0.09692337483341129;0.9963881532356297;0.9963881532356297
"204891_2;0;2;0;0.8315979;1;1;1";0.8316498316498316;0.998591765928983;0.998591765928983
"204999_6;0;6;0;0.9745897;1;1;1";1.0;0.9972581710541829;0.9972581710541829
"204999_9;0;9;0;0.98488677;1;1;1";1.0;0.9977839337736082;0.9977839337736082
"205059_5;1;5;1;0.7027449;1;1;1";1.0;0.9948384285769238;0.9948384285769238
"205065_11;1;11;1;0.9339241;1;1;1";0.12894123420439196;0.9936606223203387;0.9936606223203387
"205104_12;0;12;1;0.5106984;1;1;1";1.0;0.9983491804744593;0.9983491804744593
"205143_11;0;11;1;0.9905847;1;1;1";1.0;0.9977889552789886;0.9977889552789886
"205167_7;1;7;0;0.6579799;1;1;1";0.04986346463172853;0.9947303336312915;0.9947303336312915
"205256_4;0;4;0;0.6587137;1;1;1";1.0;0.9956331604683846;0.9956331604683846
"205319_12;0;12;0;0.9802103;1;1;1";1.0;0.9984772218885951;0.9984772218885951
"205424_14;1;14;0;0.98820937;1;1;1";0.07435662699623635;0.995125884954524;0.995125884954524
"205459_13;0;13;1;0.89963925;1;1;1";1.0;0.9952117048848096;0.9952117048848096
"205514_6;0;6;0;0.9951111;1;1;1";1.0;0.9973395188441523;0.9973395188441523
"205517_8;0;8;1;0.9951212;1;1;1";-0.05784204671857651;0.9973793250609719;0.9973793250609719
"205553_3;1;3;1;0.6003559;1;1;1";0.145140042385016;0.9971127076345735;0.9971127076345735
"205556_2;0;2;0;0.8348571;1;1;1";1.0;0.9959976226240603;0.9959976226240603
"205742_8;1;8;0;0.85586363;1;1;1";1.0;0.9849662116238898;0.9849662116238898
"205766_2;1;2;0;0.9961392;1;1;1";1.0;0.9956750679228806;0.9956750679228806
"205843_7;0;7;0;0.76757455;1;1;1";0.8316498316498316;0.9972283515199661;0.9972283515199661
"205897_10;0;10;1;0.98970336;1;1;1";1.0;0.9897225532736948;0.9897225532736948
"205918_14;1;14;0;0.9991183;1;1;1";1.0;0.99214058365755;0.99214058365755
"205918_4;1;4;0;0.9997961;1;1;1";1.0;0.998517448082536;0.998517448082536
"205921_2;0;2;1;0.5055151;1;1;1";1.0;0.9973176555511759;0.9973176555511759
"206114_11;1;11;1;0.9880639;1;1;1";1.0;0.9958052252635822;0.9958052252635822
"206132_9;0;9;0;0.9949119;1;1;1";-0.021634615384615863;0.9977842229817268;0.9977842229817268
"206165_14;0;14;1;0.8311393;1;1;1";0.05448499212070834;0.9953714853295276;0.9953714853295276
"206165_5;0;5;0;0.6763289;1;1;1";-0.0035956488097947936;0.9982451007554414;0.9982451007554414
"206309_6;1;6;1;0.58013797;1;1;1";-0.006581494386372455;0.9918632366144985;0.9918632366144985
"206366_3;0;3;0;0.8463541;1;1;1";1.0;0.9980465289054652;0.9980465289054652
"206447_14;0;14;0;0.82681763;1;1;1";1.0;0.986548292597708;0.986548292597708
"206504_8;0;8;0;0.9931815;1;1;1";1.0;0.9978274384884819;0.9978274384884819
"206510_12;1;12;0;0.9998339;1;1;1";0.167697818300228;0.9970909820162935;0.9970909820162935
"206519_14;1;14;0;0.9983623;1;1;1";1.0;0.9961405044171102;0.9961405044171102
"206543_5;1;5;1;0.94330555;1;1;1";1.0;0.9973380212104115;0.9973380212104115
"206606_6;0;6;0;0.7992004;1;1;1";1.0;0.9970397528363926;0.9970397528363926
"206633_11;1;11;1;0.78378004;1;1;1";-0.08726818134899261;0.9982044058947602;0.9982044058947602
"206700_7;0;7;0;0.9946881;1;1;1";1.0;0.9972921712570411;0.9972921712570411
"206700_8;0;8;0;0.99496734;1;1;1";1.0;0.9987459442968196;0.9987459442968196
