sepal_length,sepal_width,petal_length,petal_width,Result
"(4.3100000000000005, 5.24]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(4.3100000000000005, 5.24]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(4.3100000000000005, 5.24]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(4.3100000000000005, 5.24]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(4.3100000000000005, 5.24]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(4.3100000000000005, 5.24]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(4.3100000000000005, 5.24]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(4.3100000000000005, 5.24]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(4.3100000000000005, 5.24]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(4.3100000000000005, 5.24]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(4.3100000000000005, 5.24]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(4.3100000000000005, 5.24]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(4.3100000000000005, 5.24]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(4.3100000000000005, 5.24]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(4.3100000000000005, 5.24]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(4.3100000000000005, 5.24]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(4.3100000000000005, 5.24]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(4.3100000000000005, 5.24]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(4.3100000000000005, 5.24]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(4.3100000000000005, 5.24]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(4.3100000000000005, 5.24]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(4.3100000000000005, 5.24]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(4.3100000000000005, 5.24]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(4.3100000000000005, 5.24]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(4.3100000000000005, 5.24]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(4.3100000000000005, 5.24]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(4.3100000000000005, 5.24]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(4.3100000000000005, 5.24]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(4.3100000000000005, 5.24]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(4.3100000000000005, 5.24]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(4.3100000000000005, 5.24]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(5.24, 5.9]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(4.3100000000000005, 5.24]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
"(4.3100000000000005, 5.24]","(2.79, 3.4]","(1.0, 1.6]","(0.1, 0.4]",Positive
