sepal_length,sepal_width,petal_length,petal_width,Result
"(4.3100000000000005, 5.19]","(2.49, 3.1]","(1.0, 1.5]","(0.09000000000000001, 0.69]",Positive
"(4.3100000000000005, 5.19]","(2.49, 3.1]","(1.0, 1.5]","(0.09000000000000001, 0.69]",Positive
"(5.19, 5.8]","(2.49, 3.1]","(1.0, 1.5]","(0.09000000000000001, 0.69]",Positive
"(5.19, 5.8]","(2.49, 3.1]","(1.0, 1.5]","(0.09000000000000001, 0.69]",Positive
"(4.3100000000000005, 5.19]","(2.49, 3.1]","(1.0, 1.5]","(0.09000000000000001, 0.69]",Positive
"(5.19, 5.8]","(2.49, 3.1]","(1.0, 1.5]","(0.09000000000000001, 0.69]",Positive
"(4.3100000000000005, 5.19]","(2.49, 3.1]","(1.0, 1.5]","(0.09000000000000001, 0.69]",Positive
"(4.3100000000000005, 5.19]","(2.49, 3.1]","(1.0, 1.5]","(0.09000000000000001, 0.69]",Positive
"(5.19, 5.8]","(2.49, 3.1]","(1.0, 1.5]","(0.09000000000000001, 0.69]",Positive
"(5.19, 5.8]","(2.49, 3.1]","(1.0, 1.5]","(0.09000000000000001, 0.69]",Positive
"(4.3100000000000005, 5.19]","(2.49, 3.1]","(1.0, 1.5]","(0.09000000000000001, 0.69]",Positive
"(4.3100000000000005, 5.19]","(2.49, 3.1]","(1.0, 1.5]","(0.09000000000000001, 0.69]",Positive
"(4.3100000000000005, 5.19]","(2.49, 3.1]","(1.0, 1.5]","(0.09000000000000001, 0.69]",Positive
"(4.3100000000000005, 5.19]","(2.49, 3.1]","(1.0, 1.5]","(0.09000000000000001, 0.69]",Positive
"(4.3100000000000005, 5.19]","(2.49, 3.1]","(1.0, 1.5]","(0.09000000000000001, 0.69]",Positive
"(5.19, 5.8]","(2.49, 3.1]","(1.0, 1.5]","(0.09000000000000001, 0.69]",Positive
"(5.19, 5.8]","(2.49, 3.1]","(1.0, 1.5]","(0.09000000000000001, 0.69]",Positive
"(5.19, 5.8]","(2.49, 3.1]","(1.0, 1.5]","(0.09000000000000001, 0.69]",Positive
"(4.3100000000000005, 5.19]","(2.49, 3.1]","(1.0, 1.5]","(0.09000000000000001, 0.69]",Positive
"(4.3100000000000005, 5.19]","(2.49, 3.1]","(1.0, 1.5]","(0.09000000000000001, 0.69]",Positive
"(5.19, 5.8]","(2.49, 3.1]","(1.0, 1.5]","(0.09000000000000001, 0.69]",Positive
"(5.19, 5.8]","(2.49, 3.1]","(1.0, 1.5]","(0.09000000000000001, 0.69]",Positive
"(4.3100000000000005, 5.19]","(2.49, 3.1]","(1.0, 1.5]","(0.09000000000000001, 0.69]",Positive
"(5.19, 5.8]","(2.49, 3.1]","(1.0, 1.5]","(0.09000000000000001, 0.69]",Positive
"(5.19, 5.8]","(2.49, 3.1]","(1.0, 1.5]","(0.09000000000000001, 0.69]",Positive
"(4.3100000000000005, 5.19]","(2.49, 3.1]","(1.0, 1.5]","(0.09000000000000001, 0.69]",Positive
"(5.19, 5.8]","(2.49, 3.1]","(1.0, 1.5]","(0.09000000000000001, 0.69]",Positive
"(5.19, 5.8]","(2.49, 3.1]","(1.0, 1.5]","(0.09000000000000001, 0.69]",Positive
"(4.3100000000000005, 5.19]","(2.49, 3.1]","(1.0, 1.5]","(0.09000000000000001, 0.69]",Positive
"(4.3100000000000005, 5.19]","(2.49, 3.1]","(1.0, 1.5]","(0.09000000000000001, 0.69]",Positive
