sepal_length,sepal_width,petal_length,petal_width,Result
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(6.06, 6.8]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(3.0, 3.4]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(3.0, 3.4]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(2.39, 3.0]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(3.4, 3.6]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(3.0, 3.4]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(3.4, 3.6]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(3.0, 3.4]","(3.7, 5.1]","(1.2, 1.8]",Negative
"(5.01, 6.06]","(3.0, 3.4]","(3.7, 5.1]","(1.2, 1.8]",Negative
