sepal_length,sepal_width,petal_length,petal_width,Result
"(4.91, 5.96]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(4.91, 5.96]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(5.96, 6.7]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(5.96, 6.7]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(4.91, 5.96]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(5.96, 6.7]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(4.91, 5.96]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(4.91, 5.96]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(5.96, 6.7]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(5.96, 6.7]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(4.91, 5.96]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(4.91, 5.96]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(4.91, 5.96]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(4.91, 5.96]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(4.91, 5.96]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(5.96, 6.7]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(5.96, 6.7]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(5.96, 6.7]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(4.91, 5.96]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(4.91, 5.96]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(5.96, 6.7]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(5.96, 6.7]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(4.91, 5.96]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(5.96, 6.7]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(5.96, 6.7]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(4.91, 5.96]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(5.96, 6.7]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(5.96, 6.7]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(4.91, 5.96]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(4.91, 5.96]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(5.96, 6.7]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(4.91, 5.96]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(4.91, 5.96]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(5.96, 6.7]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(4.91, 5.96]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(4.91, 5.96]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(4.91, 5.96]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(5.96, 6.7]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(5.96, 6.7]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(5.96, 6.7]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(5.96, 6.7]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(5.96, 6.7]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(4.91, 5.96]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(5.96, 6.7]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(5.96, 6.7]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(5.96, 6.7]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(4.91, 5.96]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(4.91, 5.96]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(4.91, 5.96]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(5.96, 6.7]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(5.96, 6.7]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(4.91, 5.96]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(5.96, 6.7]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(5.96, 6.7]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(4.91, 5.96]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(4.91, 5.96]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(4.91, 5.96]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(5.96, 6.7]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
"(4.91, 5.96]","(2.0900000000000003, 2.7]","(3.7, 5.1]","(1.3, 1.9]",Negative
