Actual;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability;ACV Subset Stability;ACV Weight Stability;ACV Adjusted Weight Stability;LINDA Subset Stability;LINDA Weight Stability;LINDA Adjusted Weight Stability
0;0;0.7953285659999999;1;1;1;1.0;0.999936649;0.999936649;;1.0;1.0;1.0;1.0;1.0
1;0;0.5170186179999999;1;1;1;0.29292929300000004;0.999458008;0.999458008;;1.0;1.0;1.0;1.0;1.0
1;0;0.6865271609999999;1;1;1;0.8039215690000001;0.999975613;0.999975613;;1.0;1.0;1.0;1.0;1.0
0;0;0.901649864;1;1;1;1.0;0.999985095;0.999985095;;1.0;1.0;;1.0;1.0
0;0;0.936444397;1;1;1;1.0;0.999881497;0.999881497;;1.0;1.0;;1.0;1.0
1;0;0.5692536420000001;1;1;1;1.0;0.992781526;0.992781526;;1.0;1.0;1.0;1.0;1.0
0;0;0.7330777890000001;1;1;1;1.0;0.999901597;0.999901597;;1.0;1.0;1.0;1.0;1.0
1;0;0.615274027;1;1;1;1.0;0.999919678;0.999919678;;1.0;1.0;1.0;1.0;1.0
1;0;0.7114415740000001;1;1;1;1.0;0.999972403;0.999972403;;1.0;1.0;1.0;1.0;1.0
1;0;0.795557018;1;1;1;1.0;0.999951143;0.999951143;;1.0;1.0;1.0;1.0;1.0
1;0;0.55681549;1;1;1;0.761904762;0.999850621;0.999850621;;1.0;1.0;1.0;1.0;1.0
0;0;0.958638469;1;1;1;1.0;0.999957142;0.999957142;;1.0;1.0;;1.0;1.0
1;0;0.828755494;1;1;1;1.0;0.999912769;0.999912769;;1.0;1.0;1.0;1.0;1.0
1;0;0.64063829;1;1;1;0.8290598290000001;0.99997484;0.99997484;;1.0;1.0;1.0;1.0;1.0
0;0;0.924374884;1;1;1;0.67032967;0.999945895;0.999945895;;1.0;1.0;;1.0;1.0
0;0;0.91684611;1;1;1;1.0;0.999943464;0.999943464;;1.0;1.0;;1.0;1.0
0;0;0.567178796;1;1;1;1.0;0.999865329;0.999865329;;1.0;1.0;1.0;1.0;1.0
0;0;0.772960344;1;1;1;0.248120301;0.999962589;0.999962589;;1.0;1.0;1.0;1.0;1.0
0;0;0.8624701090000001;1;1;1;1.0;0.999916386;0.999916386;;1.0;1.0;1.0;1.0;1.0
0;0;0.86368558;1;1;1;0.333333333;0.999965934;0.999965934;;1.0;1.0;1.0;1.0;1.0
1;0;0.7362113920000001;1;1;1;1.0;0.999924356;0.999924356;;1.0;1.0;1.0;1.0;1.0
0;0;0.927493109;1;1;1;0.848484848;0.99994104;0.99994104;;1.0;1.0;;1.0;1.0
1;0;0.8372119659999999;1;1;1;1.0;0.999427813;0.999427813;;1.0;1.0;1.0;1.0;1.0
0;0;0.897043402;1;1;1;1.0;0.999204045;0.999204045;;1.0;1.0;1.0;1.0;1.0
0;0;0.79414916;1;1;1;0.895833333;0.999866279;0.999866279;;1.0;1.0;1.0;1.0;1.0
0;0;0.816681688;1;1;1;1.0;0.999947222;0.999947222;;1.0;1.0;1.0;1.0;1.0
0;0;0.660486998;1;1;1;1.0;0.999780211;0.999780211;;1.0;1.0;1.0;1.0;1.0
0;0;0.7700876590000001;1;1;1;0.52;0.999946968;0.999946968;;1.0;1.0;1.0;1.0;1.0
0;0;0.7993237609999999;1;1;1;1.0;0.999456041;0.999456041;;1.0;1.0;1.0;1.0;1.0
0;0;0.579099154;1;1;1;1.0;0.999980025;0.999980025;;1.0;1.0;1.0;1.0;1.0
1;0;0.596843639;1;1;1;1.0;0.999973838;0.999973838;;1.0;1.0;1.0;1.0;1.0
1;0;0.917216681;1;1;1;0.8039215690000001;0.99941589;0.99941589;;1.0;1.0;;1.0;1.0
0;0;0.894389091;1;1;1;1.0;0.999819919;0.999819919;;1.0;1.0;1.0;1.0;1.0
0;0;0.961959385;1;1;1;0.725274725;0.999952681;0.999952681;;1.0;1.0;;1.0;1.0
0;0;0.715043422;1;1;1;0.494949495;0.999947489;0.999947489;;1.0;1.0;1.0;1.0;1.0
0;0;0.852292478;1;1;1;0.498432602;0.999955225;0.999955225;;1.0;1.0;1.0;1.0;1.0
0;0;0.71227521;1;1;1;0.87460815;0.999960729;0.999960729;;1.0;1.0;1.0;1.0;1.0
0;0;0.863360683;1;1;1;0.848484848;0.999949399;0.999949399;;1.0;1.0;1.0;1.0;1.0
1;0;0.7730817790000001;1;1;1;0.89010989;0.999915678;0.999915678;;1.0;1.0;1.0;1.0;1.0
0;0;0.977415806;1;1;1;0.52;0.999948384;0.999948384;1.0;1.0;1.0;;1.0;1.0
0;0;0.966731948;1;1;1;0.895833333;0.999817164;0.999817164;;1.0;1.0;;1.0;1.0
0;0;0.7992932309999999;1;1;1;1.0;0.99993874;0.99993874;;1.0;1.0;1.0;1.0;1.0
0;0;0.927430524;1;1;1;1.0;0.999655753;0.999655753;;1.0;1.0;;1.0;1.0
1;0;0.639122584;1;1;1;1.0;0.999865029;0.999865029;;1.0;1.0;1.0;1.0;1.0
0;0;0.640987661;1;1;1;1.0;0.999954942;0.999954942;;1.0;1.0;1.0;1.0;1.0
0;0;0.922644678;1;1;1;1.0;0.999967684;0.999967684;;1.0;1.0;;1.0;1.0
1;0;0.820010905;1;1;1;0.74025974;0.999918767;0.999918767;;1.0;1.0;1.0;1.0;1.0
1;0;0.882738569;1;1;1;1.0;0.999970702;0.999970702;;1.0;1.0;;1.0;1.0
0;0;0.881561659;1;1;1;1.0;0.999810012;0.999810012;;1.0;1.0;1.0;1.0;1.0
0;0;0.8201228220000001;1;1;1;1.0;0.999930214;0.999930214;;1.0;1.0;1.0;1.0;1.0
1;1;0.861039645;1;1;1;1.0;0.999974567;0.999974567;;1.0;1.0;;1.0;1.0
1;1;0.999867491;1;1;1;1.0;0.999975668;0.999975668;1.0;1.0;1.0;;1.0;1.0
0;1;0.878240798;1;1;1;1.0;0.999974779;0.999974779;;1.0;1.0;;1.0;1.0
