static__AMOUNT_REQ,index__hour_0,index__weekday_0,index__month_0,index__timesincemidnight_0,index__timesincelastevent_0,index__timesincecasestart_0,index__event_nr_0,index__open_cases_0,index__Activity_0_A_SUBMITTED-COMPLETE,index__Resource_0_112.0
20000.0,1.0,5.0,10.0,98.0,0.0,0.0,1.0,1.0,1.0,1.0
5000.0,9.0,5.0,10.0,548.0,0.0,0.0,1.0,2.0,1.0,1.0
7000.0,9.0,5.0,10.0,550.0,0.0,0.0,1.0,3.0,1.0,1.0
45000.0,10.0,5.0,10.0,659.0,0.0,0.0,1.0,8.0,1.0,1.0
15000.0,11.0,5.0,10.0,697.0,0.0,0.0,1.0,9.0,1.0,1.0
9000.0,12.0,5.0,10.0,727.0,0.0,0.0,1.0,10.0,1.0,1.0
15000.0,13.0,5.0,10.0,816.0,0.0,0.0,1.0,12.0,1.0,1.0
15000.0,14.0,5.0,10.0,841.0,0.0,0.0,1.0,14.0,1.0,1.0
10000.0,14.0,5.0,10.0,852.0,0.0,0.0,1.0,14.0,1.0,1.0
2000.0,15.0,5.0,10.0,908.0,0.0,0.0,1.0,16.0,1.0,1.0
5000.0,15.0,5.0,10.0,909.0,0.0,0.0,1.0,17.0,1.0,1.0
10000.0,15.0,5.0,10.0,914.0,0.0,0.0,1.0,18.0,1.0,1.0
32000.0,16.0,5.0,10.0,975.0,0.0,0.0,1.0,18.0,1.0,1.0
5000.0,20.0,5.0,10.0,1205.0,0.0,0.0,1.0,23.0,1.0,1.0
5000.0,20.0,5.0,10.0,1206.0,0.0,0.0,1.0,24.0,1.0,1.0
5000.0,20.0,5.0,10.0,1214.0,0.0,0.0,1.0,25.0,1.0,1.0
6000.0,20.0,5.0,10.0,1232.0,0.0,0.0,1.0,26.0,1.0,1.0
15000.0,21.0,5.0,10.0,1279.0,0.0,0.0,1.0,27.0,1.0,1.0
5000.0,22.0,5.0,10.0,1327.0,0.0,0.0,1.0,30.0,1.0,1.0
50000.0,23.0,5.0,10.0,1439.0,0.0,0.0,1.0,31.0,1.0,1.0
7000.0,1.0,6.0,10.0,117.0,0.0,0.0,1.0,33.0,1.0,1.0
15000.0,10.0,6.0,10.0,623.0,0.0,0.0,1.0,34.0,1.0,1.0
10000.0,11.0,6.0,10.0,680.0,0.0,0.0,1.0,37.0,1.0,1.0
15500.0,12.0,6.0,10.0,723.0,0.0,0.0,1.0,39.0,1.0,1.0
5000.0,12.0,6.0,10.0,746.0,0.0,0.0,1.0,40.0,1.0,1.0
5000.0,12.0,6.0,10.0,767.0,0.0,0.0,1.0,42.0,1.0,1.0
5000.0,13.0,6.0,10.0,804.0,0.0,0.0,1.0,44.0,1.0,1.0
15500.0,14.0,6.0,10.0,845.0,0.0,0.0,1.0,45.0,1.0,1.0
50000.0,14.0,6.0,10.0,864.0,0.0,0.0,1.0,46.0,1.0,1.0
7000.0,17.0,6.0,10.0,1025.0,0.0,0.0,1.0,48.0,1.0,1.0
5500.0,18.0,6.0,10.0,1098.0,0.0,0.0,1.0,52.0,1.0,1.0
33000.0,19.0,6.0,10.0,1170.0,0.0,0.0,1.0,55.0,1.0,1.0
7000.0,22.0,6.0,10.0,1328.0,0.0,0.0,1.0,58.0,1.0,1.0
7493.0,23.0,6.0,10.0,1391.0,0.0,0.0,1.0,59.0,1.0,1.0
8000.0,23.0,6.0,10.0,1431.0,0.0,0.0,1.0,60.0,1.0,1.0
50000.0,0.0,0.0,10.0,12.0,0.0,0.0,1.0,61.0,1.0,1.0
10000.0,0.0,0.0,10.0,15.0,0.0,0.0,1.0,62.0,1.0,1.0
30000.0,9.0,0.0,10.0,549.0,0.0,0.0,1.0,66.0,1.0,1.0
8000.0,10.0,0.0,10.0,630.0,0.0,0.0,1.0,60.0,1.0,1.0
5800.0,10.0,0.0,10.0,634.0,0.0,0.0,1.0,60.0,1.0,1.0
10000.0,10.0,0.0,10.0,652.0,0.0,0.0,1.0,58.0,1.0,1.0
50000.0,11.0,0.0,10.0,698.0,0.0,0.0,1.0,58.0,1.0,1.0
20000.0,11.0,0.0,10.0,699.0,0.0,0.0,1.0,59.0,1.0,1.0
7000.0,12.0,0.0,10.0,720.0,0.0,0.0,1.0,61.0,1.0,1.0
7500.0,12.0,0.0,10.0,726.0,0.0,0.0,1.0,62.0,1.0,1.0
25000.0,12.0,0.0,10.0,741.0,0.0,0.0,1.0,62.0,1.0,1.0
25000.0,12.0,0.0,10.0,775.0,0.0,0.0,1.0,65.0,1.0,1.0
15000.0,13.0,0.0,10.0,782.0,0.0,0.0,1.0,66.0,1.0,1.0
26000.0,13.0,0.0,10.0,789.0,0.0,0.0,1.0,67.0,1.0,1.0
7500.0,13.0,0.0,10.0,790.0,0.0,0.0,1.0,68.0,1.0,1.0
25000.0,13.0,0.0,10.0,795.0,0.0,0.0,1.0,66.0,1.0,1.0
6000.0,13.0,0.0,10.0,835.0,0.0,0.0,1.0,66.0,1.0,1.0
43640.0,14.0,0.0,10.0,845.0,0.0,0.0,1.0,67.0,1.0,1.0
10000.0,14.0,0.0,10.0,863.0,0.0,0.0,1.0,70.0,1.0,1.0
8400.0,14.0,0.0,10.0,866.0,0.0,0.0,1.0,72.0,1.0,1.0
15000.0,14.0,0.0,10.0,886.0,0.0,0.0,1.0,69.0,1.0,1.0
21000.0,14.0,0.0,10.0,894.0,0.0,0.0,1.0,71.0,1.0,1.0
5000.0,15.0,0.0,10.0,910.0,0.0,0.0,1.0,72.0,1.0,1.0
15000.0,15.0,0.0,10.0,917.0,0.0,0.0,1.0,73.0,1.0,1.0
5000.0,15.0,0.0,10.0,924.0,0.0,0.0,1.0,75.0,1.0,1.0
5000.0,17.0,0.0,10.0,1057.0,0.0,0.0,1.0,73.0,1.0,1.0
10600.0,17.0,0.0,10.0,1079.0,0.0,0.0,1.0,72.0,1.0,1.0
21000.0,18.0,0.0,10.0,1080.0,0.0,0.0,1.0,73.0,1.0,1.0
1000.0,18.0,0.0,10.0,1124.0,0.0,0.0,1.0,75.0,1.0,1.0
40000.0,18.0,0.0,10.0,1138.0,0.0,0.0,1.0,76.0,1.0,1.0
7897.0,19.0,0.0,10.0,1162.0,0.0,0.0,1.0,77.0,1.0,1.0
20000.0,19.0,0.0,10.0,1191.0,0.0,0.0,1.0,79.0,1.0,1.0
6000.0,20.0,0.0,10.0,1258.0,0.0,0.0,1.0,86.0,1.0,1.0
6000.0,21.0,0.0,10.0,1270.0,0.0,0.0,1.0,89.0,1.0,1.0
15000.0,21.0,0.0,10.0,1285.0,0.0,0.0,1.0,89.0,1.0,1.0
30000.0,21.0,0.0,10.0,1319.0,0.0,0.0,1.0,89.0,1.0,1.0
15000.0,21.0,0.0,10.0,1319.0,0.0,0.0,1.0,90.0,1.0,1.0
10000.0,22.0,0.0,10.0,1323.0,0.0,0.0,1.0,92.0,1.0,1.0
12000.0,22.0,0.0,10.0,1323.0,0.0,0.0,1.0,93.0,1.0,1.0
6000.0,22.0,0.0,10.0,1337.0,0.0,0.0,1.0,94.0,1.0,1.0
10000.0,23.0,0.0,10.0,1384.0,0.0,0.0,1.0,96.0,1.0,1.0
50000.0,23.0,0.0,10.0,1439.0,0.0,0.0,1.0,98.0,1.0,1.0
15000.0,0.0,1.0,10.0,31.0,0.0,0.0,1.0,100.0,1.0,1.0
25000.0,0.0,1.0,10.0,33.0,0.0,0.0,1.0,101.0,1.0,1.0
5000.0,7.0,1.0,10.0,458.0,0.0,0.0,1.0,105.0,1.0,1.0
15000.0,9.0,1.0,10.0,570.0,0.0,0.0,1.0,106.0,1.0,1.0
15000.0,9.0,1.0,10.0,590.0,0.0,0.0,1.0,107.0,1.0,1.0
5000.0,10.0,1.0,10.0,631.0,0.0,0.0,1.0,105.0,1.0,1.0
30000.0,11.0,1.0,10.0,664.0,0.0,0.0,1.0,105.0,1.0,1.0
10000.0,11.0,1.0,10.0,677.0,0.0,0.0,1.0,105.0,1.0,1.0
7000.0,11.0,1.0,10.0,702.0,0.0,0.0,1.0,107.0,1.0,1.0
6000.0,12.0,1.0,10.0,754.0,0.0,0.0,1.0,108.0,1.0,1.0
30000.0,12.0,1.0,10.0,773.0,0.0,0.0,1.0,109.0,1.0,1.0
9500.0,14.0,1.0,10.0,849.0,0.0,0.0,1.0,106.0,1.0,1.0
5000.0,14.0,1.0,10.0,851.0,0.0,0.0,1.0,107.0,1.0,1.0
15000.0,14.0,1.0,10.0,868.0,0.0,0.0,1.0,108.0,1.0,1.0
6000.0,14.0,1.0,10.0,875.0,0.0,0.0,1.0,109.0,1.0,1.0
10000.0,14.0,1.0,10.0,888.0,0.0,0.0,1.0,109.0,1.0,1.0
20000.0,14.0,1.0,10.0,889.0,0.0,0.0,1.0,110.0,1.0,1.0
25000.0,14.0,1.0,10.0,897.0,0.0,0.0,1.0,112.0,1.0,1.0
11300.0,15.0,1.0,10.0,903.0,0.0,0.0,1.0,112.0,1.0,1.0
25000.0,15.0,1.0,10.0,906.0,0.0,0.0,1.0,113.0,1.0,1.0
12000.0,15.0,1.0,10.0,926.0,0.0,0.0,1.0,114.0,1.0,1.0
21000.0,15.0,1.0,10.0,930.0,0.0,0.0,1.0,115.0,1.0,1.0
15000.0,15.0,1.0,10.0,936.0,0.0,0.0,1.0,116.0,1.0,1.0
20000.0,15.0,1.0,10.0,955.0,0.0,0.0,1.0,117.0,1.0,1.0
