Actual;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability;ACV Subset Stability;ACV Weight Stability;ACV Adjusted Weight Stability;LINDA Subset Stability;LINDA Weight Stability;LINDA Adjusted Weight Stability
0;0;0.99983937;1;1;1;1.0;0.990249142;0.990249142;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.99476576;1;1;1;0.901896664;0.96986876;0.96986876;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.99998987;1;1;1;1.0;0.98760552;0.98760552;1.0;1.0;1.0;;1.0;1.0
0;0;0.9999854;1;1;1;0.871619308;0.989658555;0.989658555;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.9999819;1;1;1;0.950396825;0.997637244;0.997637244;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.9999849;1;1;1;1.0;0.997684605;0.997684605;1.0;1.0;1.0;;1.0;1.0
0;0;0.9999649;1;1;1;1.0;0.99138058;0.99138058;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.99554384;1;1;1;1.0;0.994539651;0.994539651;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.99997145;1;1;1;1.0;0.994152579;0.994152579;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.9999755;1;1;1;0.704491726;0.996845476;0.996845476;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.999975;1;1;1;0.754741661;0.995138923;0.995138923;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.9835065;1;1;1;1.0;0.984296727;0.984296727;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.9999604;1;1;1;1.0;0.994981511;0.994981511;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.9997545;1;1;1;1.0;0.996281195;0.996281195;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.999944;1;1;1;0.922971585;0.995989728;0.995989728;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.9963071;1;1;1;0.754741661;0.996050525;0.996050525;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.99668205;1;1;1;0.901896664;0.992672878;0.992672878;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.9999526;1;1;1;0.953473945;0.974117517;0.974117517;1.0;1.0;1.0;;1.0;1.0
0;0;0.9999103;1;1;1;1.0;0.99443688;0.99443688;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.99999386;1;1;1;0.80193662;0.987637554;0.987637554;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.99920684;1;1;1;0.851851852;0.997617763;0.997617763;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.9999773;1;1;1;1.0;0.991653001;0.991653001;1.0;1.0;1.0;;1.0;1.0
0;0;0.9999665;1;1;1;0.87366648;0.989613564;0.989613564;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.9997888;1;1;1;0.773550725;0.99707581;0.99707581;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.9996449;1;1;1;1.0;0.997469758;0.997469758;1.0;1.0;1.0;1.0;1.0;1.0
1;0;0.8462569999999999;1;1;1;1.0;0.997607678;0.997607678;;1.0;1.0;1.0;1.0;1.0
