static__AMOUNT_REQ,agg__Activity_A_PARTLYSUBMITTED-COMPLETE,agg__Activity_A_PREACCEPTED-COMPLETE,agg__Activity_A_SUBMITTED-COMPLETE,agg__Activity_W_Afhandelen leads-COMPLETE,agg__Activity_W_Afhandelen leads-SCHEDULE,agg__Activity_W_Afhandelen leads-START,agg__Activity_W_Beoordelen fraude-COMPLETE,agg__Activity_W_Beoordelen fraude-SCHEDULE,agg__Activity_W_Beoordelen fraude-START,agg__Activity_W_Completeren aanvraag-SCHEDULE,agg__Activity_W_Completeren aanvraag-START,agg__Resource_10138.0,agg__Resource_10188.0,agg__Resource_10228.0,agg__Resource_10609.0,agg__Resource_10629.0,agg__Resource_10779.0,agg__Resource_10809.0,agg__Resource_10859.0,agg__Resource_10861.0,agg__Resource_10862.0,agg__Resource_10863.0,agg__Resource_10880.0,agg__Resource_10881.0,agg__Resource_10889.0,agg__Resource_10909.0,agg__Resource_10910.0,agg__Resource_10912.0,agg__Resource_10913.0,agg__Resource_10914.0,agg__Resource_10929.0,agg__Resource_10931.0,agg__Resource_10932.0,agg__Resource_10933.0,agg__Resource_10935.0,agg__Resource_10939.0,agg__Resource_10971.0,agg__Resource_10972.0,agg__Resource_10982.0,agg__Resource_11000.0,agg__Resource_11001.0,agg__Resource_11002.0,agg__Resource_11003.0,agg__Resource_11009.0,agg__Resource_11019.0,agg__Resource_11049.0,agg__Resource_11111.0,agg__Resource_11119.0,agg__Resource_11120.0,agg__Resource_11121.0,agg__Resource_11122.0,agg__Resource_11169.0,agg__Resource_11179.0,agg__Resource_11180.0,agg__Resource_11181.0,agg__Resource_11189.0,agg__Resource_112.0,agg__Resource_11200.0,agg__Resource_11201.0,agg__Resource_11202.0,agg__Resource_11203.0,agg__Resource_11259.0,agg__Resource_other,agg__hour_mean,agg__hour_max,agg__hour_min,agg__hour_sum,agg__hour_std,agg__weekday_mean,agg__weekday_max,agg__weekday_min,agg__weekday_sum,agg__weekday_std,agg__month_mean,agg__month_max,agg__month_min,agg__month_sum,agg__month_std,agg__timesincemidnight_mean,agg__timesincemidnight_max,agg__timesincemidnight_min,agg__timesincemidnight_sum,agg__timesincemidnight_std,agg__timesincelastevent_mean,agg__timesincelastevent_max,agg__timesincelastevent_min,agg__timesincelastevent_sum,agg__timesincelastevent_std,agg__timesincecasestart_mean,agg__timesincecasestart_max,agg__timesincecasestart_min,agg__timesincecasestart_sum,agg__timesincecasestart_std,agg__event_nr_mean,agg__event_nr_max,agg__event_nr_min,agg__event_nr_sum,agg__event_nr_std,agg__open_cases_mean,agg__open_cases_max,agg__open_cases_min,agg__open_cases_sum,agg__open_cases_std
20000.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,12.0,1.0,16.0,4.919349550499538,5.0,5.0,5.0,25.0,0.0,10.0,10.0,10.0,50.0,0.0,230.0,756.0,98.0,1150.0,294.04336414889553,131.60630333333333,657.1260333333333,0.0,658.0315166666667,293.7747051885193,131.96638000000002,658.0315166666667,0.0,659.8319,294.07969180136536,3.0,5.0,1.0,15.0,1.5811388300841898,2.8,10.0,1.0,14.0,4.024922359499621
5000.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,12.0,9.0,48.0,1.3416407864998738,5.0,5.0,5.0,25.0,0.0,10.0,10.0,10.0,50.0,0.0,590.4,757.0,548.0,2952.0,93.1332378906693,41.71379,207.54691666666668,0.0,208.56895,92.70430353904723,42.12596666666666,208.56895,0.0,210.62983333333332,93.04571127461207,3.0,5.0,1.0,15.0,1.5811388300841898,3.6,10.0,2.0,18.0,3.5777087639996634
7000.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,12.0,9.0,48.0,1.3416407864998738,5.0,5.0,5.0,25.0,0.0,10.0,10.0,10.0,50.0,0.0,590.6,751.0,550.0,2953.0,89.6677199442475,40.18338,200.19851666666668,0.0,200.9169,89.4516995359083,40.470533333333336,200.9169,0.0,202.35266666666666,89.69295381955334,3.0,5.0,1.0,15.0,1.5811388300841898,4.8,10.0,3.0,24.0,2.9495762407505253
45000.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,12.0,10.0,52.0,0.8944271909999157,5.0,5.0,5.0,25.0,0.0,10.0,10.0,10.0,50.0,0.0,680.0,764.0,659.0,3400.0,46.95742752749558,20.965620000000005,104.28511666666668,0.0,104.82810000000002,46.5775762731104,21.182520000000004,104.8281,0.0,105.91260000000001,46.760072980531575,3.0,5.0,1.0,15.0,1.5811388300841898,8.4,10.0,8.0,42.0,0.8944271909999157
15000.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,55.0,0.0,5.0,5.0,5.0,25.0,0.0,10.0,10.0,10.0,50.0,0.0,697.6,698.0,697.0,3488.0,0.5477225575051505,0.2303033333333333,0.6885,0.0,1.1515166666666665,0.3210049299552198,0.5100966666666666,1.1515166666666667,0.0,2.550483333333333,0.4991890760690449,3.0,5.0,1.0,15.0,1.5811388300841898,9.0,9.0,9.0,45.0,0.0
9000.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,60.0,0.0,5.0,5.0,5.0,25.0,0.0,10.0,10.0,10.0,50.0,0.0,727.8,729.0,727.0,3639.0,0.8366600265340772,0.31442666666666663,0.8518833333333333,0.0,1.5721333333333332,0.4258532023414224,0.6033533333333333,1.5721333333333334,0.0,3.0167666666666664,0.6479740434830533,3.0,5.0,1.0,15.0,1.5811388300841898,10.0,10.0,10.0,50.0,0.0
15000.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,14.0,13.0,66.0,0.44721359549995815,5.0,5.0,5.0,25.0,0.0,10.0,10.0,10.0,50.0,0.0,831.2,892.0,816.0,4156.0,33.98823325799679,15.334383333333335,75.82676666666667,0.0,76.67191666666668,33.81818334677943,15.672033333333331,76.67191666666666,0.0,78.36016666666666,34.10255627114785,3.0,5.0,1.0,15.0,1.5811388300841898,12.6,15.0,12.0,63.0,1.3416407864998738
15000.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,16.0,14.0,72.0,0.8944271909999157,5.0,5.0,5.0,25.0,0.0,10.0,10.0,10.0,50.0,0.0,870.2,985.0,841.0,4351.0,64.17709871909136,28.79387666666667,143.20615,0.0,143.96938333333335,63.95923001591479,29.0988,143.96938333333333,0.0,145.494,64.21572768007914,3.0,5.0,1.0,15.0,1.5811388300841898,14.4,18.0,13.0,72.0,2.073644135332772
10000.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,16.0,14.0,72.0,0.8944271909999157,5.0,5.0,5.0,25.0,0.0,10.0,10.0,10.0,50.0,0.0,879.2,986.0,852.0,4396.0,59.70510865914238,26.63882,132.4641,0.0,133.1941,59.1589467505625,26.93035333333333,133.1941,0.0,134.65176666666665,59.40434778562835,3.0,5.0,1.0,15.0,1.5811388300841898,14.8,18.0,14.0,74.0,1.7888543819998315
2000.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,16.0,15.0,77.0,0.5477225575051661,5.0,5.0,5.0,25.0,0.0,10.0,10.0,10.0,50.0,0.0,936.8,981.0,908.0,4684.0,39.442363012375424,14.633073333333332,71.28798333333333,0.0,73.16536666666666,31.67858169550796,28.980163333333337,73.16536666666667,0.0,144.90081666666669,39.58430899780801,3.0,5.0,1.0,15.0,1.5811388300841898,16.8,18.0,16.0,84.0,1.0954451150103321
