static__AMOUNT_REQ,agg__Activity_A_SUBMITTED-COMPLETE,agg__Resource_112.0,agg__hour_mean,agg__hour_max,agg__hour_min,agg__hour_sum,agg__hour_std,agg__weekday_mean,agg__weekday_max,agg__weekday_min,agg__weekday_sum,agg__weekday_std,agg__month_mean,agg__month_max,agg__month_min,agg__month_sum,agg__month_std,agg__timesincemidnight_mean,agg__timesincemidnight_max,agg__timesincemidnight_min,agg__timesincemidnight_sum,agg__timesincemidnight_std,agg__timesincelastevent_mean,agg__timesincelastevent_max,agg__timesincelastevent_min,agg__timesincelastevent_sum,agg__timesincelastevent_std,agg__timesincecasestart_mean,agg__timesincecasestart_max,agg__timesincecasestart_min,agg__timesincecasestart_sum,agg__timesincecasestart_std,agg__event_nr_mean,agg__event_nr_max,agg__event_nr_min,agg__event_nr_sum,agg__event_nr_std,agg__open_cases_mean,agg__open_cases_max,agg__open_cases_min,agg__open_cases_sum,agg__open_cases_std
20000.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,5.0,5.0,5.0,0.0,10.0,10.0,10.0,10.0,0.0,98.0,98.0,98.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
5000.0,1.0,1.0,9.0,9.0,9.0,9.0,0.0,5.0,5.0,5.0,5.0,0.0,10.0,10.0,10.0,10.0,0.0,548.0,548.0,548.0,548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
7000.0,1.0,1.0,9.0,9.0,9.0,9.0,0.0,5.0,5.0,5.0,5.0,0.0,10.0,10.0,10.0,10.0,0.0,550.0,550.0,550.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,0.0
45000.0,1.0,1.0,10.0,10.0,10.0,10.0,0.0,5.0,5.0,5.0,5.0,0.0,10.0,10.0,10.0,10.0,0.0,659.0,659.0,659.0,659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,8.0,8.0,8.0,8.0,0.0
15000.0,1.0,1.0,11.0,11.0,11.0,11.0,0.0,5.0,5.0,5.0,5.0,0.0,10.0,10.0,10.0,10.0,0.0,697.0,697.0,697.0,697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,9.0,9.0,9.0,9.0,0.0
9000.0,1.0,1.0,12.0,12.0,12.0,12.0,0.0,5.0,5.0,5.0,5.0,0.0,10.0,10.0,10.0,10.0,0.0,727.0,727.0,727.0,727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,10.0,10.0,10.0,10.0,0.0
15000.0,1.0,1.0,13.0,13.0,13.0,13.0,0.0,5.0,5.0,5.0,5.0,0.0,10.0,10.0,10.0,10.0,0.0,816.0,816.0,816.0,816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,12.0,12.0,12.0,12.0,0.0
15000.0,1.0,1.0,14.0,14.0,14.0,14.0,0.0,5.0,5.0,5.0,5.0,0.0,10.0,10.0,10.0,10.0,0.0,841.0,841.0,841.0,841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,14.0,14.0,14.0,14.0,0.0
10000.0,1.0,1.0,14.0,14.0,14.0,14.0,0.0,5.0,5.0,5.0,5.0,0.0,10.0,10.0,10.0,10.0,0.0,852.0,852.0,852.0,852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,14.0,14.0,14.0,14.0,0.0
2000.0,1.0,1.0,15.0,15.0,15.0,15.0,0.0,5.0,5.0,5.0,5.0,0.0,10.0,10.0,10.0,10.0,0.0,908.0,908.0,908.0,908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,16.0,16.0,16.0,16.0,0.0
5000.0,1.0,1.0,15.0,15.0,15.0,15.0,0.0,5.0,5.0,5.0,5.0,0.0,10.0,10.0,10.0,10.0,0.0,909.0,909.0,909.0,909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,17.0,17.0,17.0,17.0,0.0
10000.0,1.0,1.0,15.0,15.0,15.0,15.0,0.0,5.0,5.0,5.0,5.0,0.0,10.0,10.0,10.0,10.0,0.0,914.0,914.0,914.0,914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,18.0,18.0,18.0,18.0,0.0
32000.0,1.0,1.0,16.0,16.0,16.0,16.0,0.0,5.0,5.0,5.0,5.0,0.0,10.0,10.0,10.0,10.0,0.0,975.0,975.0,975.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,18.0,18.0,18.0,18.0,0.0
5000.0,1.0,1.0,20.0,20.0,20.0,20.0,0.0,5.0,5.0,5.0,5.0,0.0,10.0,10.0,10.0,10.0,0.0,1205.0,1205.0,1205.0,1205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,23.0,23.0,23.0,23.0,0.0
5000.0,1.0,1.0,20.0,20.0,20.0,20.0,0.0,5.0,5.0,5.0,5.0,0.0,10.0,10.0,10.0,10.0,0.0,1206.0,1206.0,1206.0,1206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,24.0,24.0,24.0,24.0,0.0
5000.0,1.0,1.0,20.0,20.0,20.0,20.0,0.0,5.0,5.0,5.0,5.0,0.0,10.0,10.0,10.0,10.0,0.0,1214.0,1214.0,1214.0,1214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,25.0,25.0,25.0,25.0,0.0
6000.0,1.0,1.0,20.0,20.0,20.0,20.0,0.0,5.0,5.0,5.0,5.0,0.0,10.0,10.0,10.0,10.0,0.0,1232.0,1232.0,1232.0,1232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,26.0,26.0,26.0,26.0,0.0
15000.0,1.0,1.0,21.0,21.0,21.0,21.0,0.0,5.0,5.0,5.0,5.0,0.0,10.0,10.0,10.0,10.0,0.0,1279.0,1279.0,1279.0,1279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,27.0,27.0,27.0,27.0,0.0
5000.0,1.0,1.0,22.0,22.0,22.0,22.0,0.0,5.0,5.0,5.0,5.0,0.0,10.0,10.0,10.0,10.0,0.0,1327.0,1327.0,1327.0,1327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,30.0,30.0,30.0,30.0,0.0
50000.0,1.0,1.0,23.0,23.0,23.0,23.0,0.0,5.0,5.0,5.0,5.0,0.0,10.0,10.0,10.0,10.0,0.0,1439.0,1439.0,1439.0,1439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,31.0,31.0,31.0,31.0,0.0
7000.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,6.0,6.0,6.0,0.0,10.0,10.0,10.0,10.0,0.0,117.0,117.0,117.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,33.0,33.0,33.0,33.0,0.0
15000.0,1.0,1.0,10.0,10.0,10.0,10.0,0.0,6.0,6.0,6.0,6.0,0.0,10.0,10.0,10.0,10.0,0.0,623.0,623.0,623.0,623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,34.0,34.0,34.0,34.0,0.0
10000.0,1.0,1.0,11.0,11.0,11.0,11.0,0.0,6.0,6.0,6.0,6.0,0.0,10.0,10.0,10.0,10.0,0.0,680.0,680.0,680.0,680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,37.0,37.0,37.0,37.0,0.0
15500.0,1.0,1.0,12.0,12.0,12.0,12.0,0.0,6.0,6.0,6.0,6.0,0.0,10.0,10.0,10.0,10.0,0.0,723.0,723.0,723.0,723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,39.0,39.0,39.0,39.0,0.0
5000.0,1.0,1.0,12.0,12.0,12.0,12.0,0.0,6.0,6.0,6.0,6.0,0.0,10.0,10.0,10.0,10.0,0.0,746.0,746.0,746.0,746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,40.0,40.0,40.0,40.0,0.0
5000.0,1.0,1.0,12.0,12.0,12.0,12.0,0.0,6.0,6.0,6.0,6.0,0.0,10.0,10.0,10.0,10.0,0.0,767.0,767.0,767.0,767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,42.0,42.0,42.0,42.0,0.0
5000.0,1.0,1.0,13.0,13.0,13.0,13.0,0.0,6.0,6.0,6.0,6.0,0.0,10.0,10.0,10.0,10.0,0.0,804.0,804.0,804.0,804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,44.0,44.0,44.0,44.0,0.0
15500.0,1.0,1.0,14.0,14.0,14.0,14.0,0.0,6.0,6.0,6.0,6.0,0.0,10.0,10.0,10.0,10.0,0.0,845.0,845.0,845.0,845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,45.0,45.0,45.0,45.0,0.0
50000.0,1.0,1.0,14.0,14.0,14.0,14.0,0.0,6.0,6.0,6.0,6.0,0.0,10.0,10.0,10.0,10.0,0.0,864.0,864.0,864.0,864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,46.0,46.0,46.0,46.0,0.0
7000.0,1.0,1.0,17.0,17.0,17.0,17.0,0.0,6.0,6.0,6.0,6.0,0.0,10.0,10.0,10.0,10.0,0.0,1025.0,1025.0,1025.0,1025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,48.0,48.0,48.0,48.0,0.0
5500.0,1.0,1.0,18.0,18.0,18.0,18.0,0.0,6.0,6.0,6.0,6.0,0.0,10.0,10.0,10.0,10.0,0.0,1098.0,1098.0,1098.0,1098.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,52.0,52.0,52.0,52.0,0.0
33000.0,1.0,1.0,19.0,19.0,19.0,19.0,0.0,6.0,6.0,6.0,6.0,0.0,10.0,10.0,10.0,10.0,0.0,1170.0,1170.0,1170.0,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,55.0,55.0,55.0,55.0,0.0
7000.0,1.0,1.0,22.0,22.0,22.0,22.0,0.0,6.0,6.0,6.0,6.0,0.0,10.0,10.0,10.0,10.0,0.0,1328.0,1328.0,1328.0,1328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,58.0,58.0,58.0,58.0,0.0
7493.0,1.0,1.0,23.0,23.0,23.0,23.0,0.0,6.0,6.0,6.0,6.0,0.0,10.0,10.0,10.0,10.0,0.0,1391.0,1391.0,1391.0,1391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,59.0,59.0,59.0,59.0,0.0
8000.0,1.0,1.0,23.0,23.0,23.0,23.0,0.0,6.0,6.0,6.0,6.0,0.0,10.0,10.0,10.0,10.0,0.0,1431.0,1431.0,1431.0,1431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,60.0,60.0,60.0,60.0,0.0
50000.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,61.0,61.0,61.0,61.0,0.0
10000.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,62.0,62.0,62.0,62.0,0.0
30000.0,1.0,1.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,549.0,549.0,549.0,549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,66.0,66.0,66.0,66.0,0.0
8000.0,1.0,1.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,630.0,630.0,630.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,60.0,60.0,60.0,60.0,0.0
5800.0,1.0,1.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,634.0,634.0,634.0,634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,60.0,60.0,60.0,60.0,0.0
10000.0,1.0,1.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,652.0,652.0,652.0,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,58.0,58.0,58.0,58.0,0.0
50000.0,1.0,1.0,11.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,698.0,698.0,698.0,698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,58.0,58.0,58.0,58.0,0.0
20000.0,1.0,1.0,11.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,699.0,699.0,699.0,699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,59.0,59.0,59.0,59.0,0.0
7000.0,1.0,1.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,720.0,720.0,720.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,61.0,61.0,61.0,61.0,0.0
7500.0,1.0,1.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,726.0,726.0,726.0,726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,62.0,62.0,62.0,62.0,0.0
25000.0,1.0,1.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,741.0,741.0,741.0,741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,62.0,62.0,62.0,62.0,0.0
