sepal_length,sepal_width,petal_length,petal_width,Result
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(5.96, 6.7]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(4.0, 4.23]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(4.23, 4.4]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(4.0, 4.23]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(4.23, 4.4]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(4.0, 4.23]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(4.0, 4.23]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(4.0, 4.23]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(4.23, 4.4]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(4.23, 4.4]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(4.23, 4.4]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(4.0, 4.23]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(4.0, 4.23]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(4.0, 4.23]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(4.23, 4.4]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(4.0, 4.23]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(4.23, 4.4]","(1.0, 1.2]","(0.1, 0.2]",Positive
"(4.91, 5.96]","(3.39, 4.0]","(1.0, 1.2]","(0.1, 0.2]",Positive
