parents_great_pret,parents_pretentious,parents_usual,has_nurs_critical,has_nurs_improper,has_nurs_less_proper,has_nurs_proper,has_nurs_very_crit,form_complete,form_completed,form_foster,form_incomplete,children_1,children_2,children_3,children_more,housing_convenient,housing_critical,housing_less_conv,finance_convenient,finance_inconv,social_nonprob,social_problematic,social_slightly_prob,health_not_recom,health_priority,health_recommended,Result
"(-0.01, 0.042]","(-0.01, 0.12]","(0.93, 1.0]","(-0.01, 0.24]","(-0.01, 0.0043]","(-0.01, 0.063]","(0.773, 1.0]","(-0.01, 0.1]","(-0.01, 0.21]","(-0.01, 0.25]","(-0.01, 0.22]","(0.9, 1.0]","(-0.01, 0.17]","(0.92, 1.0]","(-0.01, 0.087]","(-0.01, 0.13]","(0.86, 1.0]","(-0.01, 0.044]","(-0.01, 0.14]","(0.88, 1.0]","(-0.01, 0.11]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Positive
"(-0.01, 0.042]","(-0.01, 0.12]","(0.93, 1.0]","(-0.01, 0.24]","(-0.01, 0.0043]","(-0.01, 0.063]","(0.773, 1.0]","(-0.01, 0.1]","(-0.01, 0.21]","(-0.01, 0.25]","(-0.01, 0.22]","(0.9, 1.0]","(-0.01, 0.17]","(0.92, 1.0]","(-0.01, 0.087]","(-0.01, 0.13]","(0.86, 1.0]","(-0.01, 0.044]","(-0.01, 0.14]","(0.88, 1.0]","(-0.01, 0.11]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Positive
"(0.042, 0.24]","(-0.01, 0.12]","(0.93, 1.0]","(-0.01, 0.24]","(-0.01, 0.0043]","(-0.01, 0.063]","(0.773, 1.0]","(-0.01, 0.1]","(-0.01, 0.21]","(-0.01, 0.25]","(-0.01, 0.22]","(0.9, 1.0]","(-0.01, 0.17]","(0.92, 1.0]","(-0.01, 0.087]","(-0.01, 0.13]","(0.86, 1.0]","(-0.01, 0.044]","(-0.01, 0.14]","(0.88, 1.0]","(-0.01, 0.11]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Positive
"(0.042, 0.24]","(-0.01, 0.12]","(0.93, 1.0]","(-0.01, 0.24]","(-0.01, 0.0043]","(-0.01, 0.063]","(0.773, 1.0]","(-0.01, 0.1]","(-0.01, 0.21]","(-0.01, 0.25]","(-0.01, 0.22]","(0.9, 1.0]","(-0.01, 0.17]","(0.92, 1.0]","(-0.01, 0.087]","(-0.01, 0.13]","(0.86, 1.0]","(-0.01, 0.044]","(-0.01, 0.14]","(0.88, 1.0]","(-0.01, 0.11]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Positive
"(-0.01, 0.042]","(-0.01, 0.12]","(0.93, 1.0]","(-0.01, 0.24]","(-0.01, 0.0043]","(-0.01, 0.063]","(0.773, 1.0]","(-0.01, 0.1]","(-0.01, 0.21]","(-0.01, 0.25]","(-0.01, 0.22]","(0.9, 1.0]","(-0.01, 0.17]","(0.92, 1.0]","(-0.01, 0.087]","(-0.01, 0.13]","(0.86, 1.0]","(-0.01, 0.044]","(-0.01, 0.14]","(0.88, 1.0]","(-0.01, 0.11]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Positive
"(0.042, 0.24]","(-0.01, 0.12]","(0.93, 1.0]","(-0.01, 0.24]","(-0.01, 0.0043]","(-0.01, 0.063]","(0.773, 1.0]","(-0.01, 0.1]","(-0.01, 0.21]","(-0.01, 0.25]","(-0.01, 0.22]","(0.9, 1.0]","(-0.01, 0.17]","(0.92, 1.0]","(-0.01, 0.087]","(-0.01, 0.13]","(0.86, 1.0]","(-0.01, 0.044]","(-0.01, 0.14]","(0.88, 1.0]","(-0.01, 0.11]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Positive
"(0.042, 0.24]","(-0.01, 0.12]","(0.93, 1.0]","(-0.01, 0.24]","(-0.01, 0.0043]","(-0.01, 0.063]","(0.773, 1.0]","(-0.01, 0.1]","(-0.01, 0.21]","(-0.01, 0.25]","(-0.01, 0.22]","(0.9, 1.0]","(-0.01, 0.17]","(0.92, 1.0]","(-0.01, 0.087]","(-0.01, 0.13]","(0.86, 1.0]","(-0.01, 0.044]","(-0.01, 0.14]","(0.88, 1.0]","(-0.01, 0.11]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Positive
"(0.042, 0.24]","(-0.01, 0.12]","(0.93, 1.0]","(-0.01, 0.24]","(-0.01, 0.0043]","(-0.01, 0.063]","(0.773, 1.0]","(-0.01, 0.1]","(-0.01, 0.21]","(-0.01, 0.25]","(-0.01, 0.22]","(0.9, 1.0]","(-0.01, 0.17]","(0.92, 1.0]","(-0.01, 0.087]","(-0.01, 0.13]","(0.86, 1.0]","(-0.01, 0.044]","(-0.01, 0.14]","(0.88, 1.0]","(-0.01, 0.11]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Positive
"(0.042, 0.24]","(-0.01, 0.12]","(0.93, 1.0]","(-0.01, 0.24]","(-0.01, 0.0043]","(-0.01, 0.063]","(0.773, 1.0]","(-0.01, 0.1]","(-0.01, 0.21]","(-0.01, 0.25]","(-0.01, 0.22]","(0.9, 1.0]","(-0.01, 0.17]","(0.92, 1.0]","(-0.01, 0.087]","(-0.01, 0.13]","(0.86, 1.0]","(-0.01, 0.044]","(-0.01, 0.14]","(0.88, 1.0]","(-0.01, 0.11]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Positive
"(0.042, 0.24]","(-0.01, 0.12]","(0.93, 1.0]","(-0.01, 0.24]","(-0.01, 0.0043]","(-0.01, 0.063]","(0.773, 1.0]","(-0.01, 0.1]","(-0.01, 0.21]","(-0.01, 0.25]","(-0.01, 0.22]","(0.9, 1.0]","(-0.01, 0.17]","(0.92, 1.0]","(-0.01, 0.087]","(-0.01, 0.13]","(0.86, 1.0]","(-0.01, 0.044]","(-0.01, 0.14]","(0.88, 1.0]","(-0.01, 0.11]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Positive
