Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability
914;1;1;1;1.0;0.2673258163532876;-12.363662537742181;-12.363662537742181;0.42799244115844637;0.8534132938897513;0.8534132938897513
950;0;1;0;1.0;1.0;0.7453226929842263;0.7453226929842263;0.4157884018975192;0.8549391173185027;0.8549391173185027
975;0;1;0;1.0;1.0;0.9910568203846988;0.9910568203846988;0.4091231387378872;0.8873007123314635;0.8873007123314635
999;0;1;0;1.0;1.0;0.9228458127645304;0.9228458127645304;0.4147134790344127;0.591441086939396;0.591441086939396
1004;1;1;1;1.0;0.18619791666666666;-18.91610945957601;-18.91610945957601;0.4049168055194121;0.8765382109179878;0.8765382109179878
1105;0;1;0;1.0;1.0;0.9283033917456139;0.9283033917456139;0.4266663803726356;0.8731507149646691;0.8731507149646691
1119;1;1;1;1.0;0.832529474812433;-2.2645578359121195;-2.2645578359121195;0.43171644870298775;0.8975486723644284;0.8975486723644284
1134;1;1;0;0.9999999999995453;1.0;0.8660007537632088;0.8660007537632088;0.42890305249081784;0.8487783264332718;0.8487783264332718
1001_12;0;12;0;1.0;1.0;0.9863145511714452;0.9863145511714452;0.401973146885647;0.8513482092456561;0.8513482092456561
1004_9;1;9;1;1.0;0.2985971943887774;-5.811700329223397;-5.811700329223397;0.4290555691635576;0.621739738549534;0.621739738549534
1007_8;1;8;0;1.0;0.8689624446366329;-2.5800455559386224;-2.5800455559386224;0.42355429483788076;0.8662107067569853;0.8662107067569853
1013_11;1;11;0;1.0;0.5995995995995996;-8.614688571536089;-8.614688571536089;0.42336309523809523;0.8829200995429958;0.8829200995429958
1014_14;1;14;0;1.0;0.9086891413126847;-1.7658211529212844;-1.7658211529212844;0.4111439173466881;0.8401923776549157;0.8401923776549157
1022_11;0;11;1;1.0;0.8689624446366329;-1.450729197758586;-1.450729197758586;0.4075863978763472;0.8443803133488406;0.8443803133488406
1022_7;0;7;1;1.0;0.8953309217577706;-3.569655161313662;-3.569655161313662;0.42914770326842566;0.8875471537032141;0.8875471537032141
1026_13;1;13;1;1.0;0.8743971061093248;-0.5168257602852342;-0.5168257602852342;0.4145860139980976;0.8493463497383362;0.8493463497383362
1029_14;0;14;0;1.0;1.0;0.9930235241896044;0.9930235241896044;0.39871634529486955;0.8864243641158789;0.8864243641158789
1031_5;0;5;0;1.0;1.0;0.790369827400907;0.790369827400907;0.42085939092916536;0.7411832547604158;0.7411832547604158
1035_12;1;12;1;1.0;0.4043439004815409;-6.157562559587162;-6.157562559587162;0.42227549038039736;0.8905904141666903;0.8905904141666903
1035_7;1;7;1;1.0;0.9521801088380722;-1.473008696295322;-1.473008696295322;0.42864917547628867;0.8908655516423787;0.8908655516423787
1037_2;1;2;0;0.9764577976511184;0.7048789413417385;-5.075238981079408;-5.075238981079408;0.4151914228075345;0.8189047840641721;0.8189047840641721
1043_5;1;5;1;1.0;0.8391959798994975;-0.945143541686596;-0.945143541686596;0.43816610365769293;0.8965611661983739;0.8965611661983739
1044_6;1;6;0;1.0;1.0;0.8493557307541539;0.8493557307541539;0.4262027348640425;0.8994444812854909;0.8994444812854909
1045_6;0;6;1;1.0;0.2837086699902585;-12.68542993025671;-12.68542993025671;0.4087623771238622;0.8983185778042063;0.8983185778042063
1047_3;0;3;0;1.0;1.0;0.9531217122614376;0.9531217122614376;0.40904809931329056;0.878979321205206;0.878979321205206
1048_4;0;4;0;1.0;1.0;0.8654773484850482;0.8654773484850482;0.4223520213649151;0.8834421023355409;0.8834421023355409
1053_10;0;10;0;1.0;1.0;0.9923194435022132;0.9923194435022132;0.4186626919581823;0.8916857003558025;0.8916857003558025
1054_11;1;11;0;1.0;1.0;0.35404436909093184;0.35404436909093184;0.41045288638871524;0.8705914591923889;0.8705914591923889
1057_8;1;8;1;0.9826330426943573;0.7048789413417385;-1.3926949337557462;-1.3926949337557462;0.4183372440234714;0.8949687793087424;0.8949687793087424
1058_13;1;13;1;1.0;0.7048789413417385;-9.344306857314708;-9.344306857314708;0.4155972274645713;0.890767315021582;0.890767315021582
1060_10;1;10;1;1.0;0.1902022180746863;-11.760024407320936;-11.760024407320936;0.41939595575527133;0.5067087859086342;0.5067087859086342
1060_4;1;4;1;1.0;0.4043439004815409;-3.634611562390479;-3.634611562390479;0.4245909670185395;0.8891887168298219;0.8891887168298219
1061_8;0;8;0;0.9999999998699424;1.0;0.03605576423244361;0.03605576423244361;0.411236103730487;0.880324316468395;0.880324316468395
1069_5;0;5;0;1.0;1.0;0.9872434869566821;0.9872434869566821;0.42478105404985234;0.8096524743105311;0.8096524743105311
1071_10;1;10;1;1.0;0.24789410348977114;-9.728871601098492;-9.728871601098492;0.4198344454545564;0.9022735859916963;0.9022735859916963
1077_4;1;4;1;1.0;0.284712883751538;-17.877866753105547;-17.877866753105547;0.42617637526149854;0.8827343777463681;0.8827343777463681
