static__Work_Order_Qty,static__Part_Desc__Ballnut,static__Part_Desc__Bearing,static__Part_Desc__Cable Head,static__Part_Desc__Clamp,static__Part_Desc__Compound Dies,static__Part_Desc__Drill,static__Part_Desc__Drum,static__Part_Desc__Electrical Contact,static__Part_Desc__Flange,static__Part_Desc__Flange Bolt,static__Part_Desc__Housing,static__Part_Desc__O-Ring,static__Part_Desc__Piston,static__Part_Desc__Plug,static__Part_Desc__Punch Holder,static__Part_Desc__Punch Plate,static__Part_Desc__Socket,static__Part_Desc__Spur Gear,static__Part_Desc__Wheel Shaft,static__Rework_missing,agg__Activity_Final Inspection Q.C.,agg__Activity_Flat Grinding - Machine 11,agg__Activity_Grinding Rework - Machine 27,agg__Activity_Lapping - Machine 1,agg__Activity_Laser Marking - Machine 7,agg__Activity_Packing,agg__Activity_Round Grinding - Machine 12,agg__Activity_Round Grinding - Machine 2,agg__Activity_Round Grinding - Machine 3,agg__Activity_Round Grinding - Manual,agg__Activity_Round Grinding - Q.C.,agg__Activity_Turn & Mill. & Screw Assem - Machine 10,agg__Activity_Turning & Milling - Machine 10,agg__Activity_Turning & Milling - Machine 4,agg__Activity_Turning & Milling - Machine 5,agg__Activity_Turning & Milling - Machine 6,agg__Activity_Turning & Milling - Machine 8,agg__Activity_Turning & Milling - Machine 9,agg__Activity_Turning & Milling Q.C.,agg__Activity_Turning - Machine 8,agg__Activity_Turning - Machine 9,agg__Activity_Turning Q.C.,agg__Activity_Wire Cut - Machine 13,agg__Activity_other,agg__Resource_ID0420,agg__Resource_ID0937,agg__Resource_ID0997,agg__Resource_ID0998,agg__Resource_ID3767,agg__Resource_ID3846,agg__Resource_ID4132,agg__Resource_ID4163,agg__Resource_ID4167,agg__Resource_ID4219,agg__Resource_ID4287,agg__Resource_ID4355,agg__Resource_ID4385,agg__Resource_ID4429,agg__Resource_ID4445,agg__Resource_ID4491,agg__Resource_ID4493,agg__Resource_ID4528,agg__Resource_ID4529,agg__Resource_ID4618,agg__Resource_ID4641,agg__Resource_ID4718,agg__Resource_ID4794,agg__Resource_ID4820,agg__Resource_ID4872,agg__Resource_ID4882,agg__Resource_ID4932,agg__Resource_other,agg__Report_Type_B,agg__Report_Type_D,agg__Report_Type_S,agg__Resource.1_Machine 1 - Lapping,agg__Resource.1_Machine 10 - Grinding,agg__Resource.1_Machine 11 - Grinding,agg__Resource.1_Machine 12 - Grinding,agg__Resource.1_Machine 15 - Turning,agg__Resource.1_Machine 2 - Round Grinding,agg__Resource.1_Machine 27 - Grinding,agg__Resource.1_Machine 3 - Round Grinding,agg__Resource.1_Machine 4 - Turning & Milling,agg__Resource.1_Machine 5 - Turning & Milling,agg__Resource.1_Machine 6 - Turning & Milling,agg__Resource.1_Machine 7- Laser Marking,agg__Resource.1_Machine 8 - Turning & Milling,agg__Resource.1_Machine 9 - Turning & Milling,agg__Resource.1_Packing,agg__Resource.1_Quality Check 1,agg__Resource.1_Wire Cut - Machine 13,agg__Resource.1_other,agg__Qty_Completed_mean,agg__Qty_Completed_max,agg__Qty_Completed_min,agg__Qty_Completed_sum,agg__Qty_Completed_std,agg__Qty_for_MRB_mean,agg__Qty_for_MRB_max,agg__Qty_for_MRB_min,agg__Qty_for_MRB_sum,agg__Qty_for_MRB_std,agg__activity_duration_mean,agg__activity_duration_max,agg__activity_duration_min,agg__activity_duration_sum,agg__activity_duration_std,agg__hour_mean,agg__hour_max,agg__hour_min,agg__hour_sum,agg__hour_std,agg__weekday_mean,agg__weekday_max,agg__weekday_min,agg__weekday_sum,agg__weekday_std,agg__month_mean,agg__month_max,agg__month_min,agg__month_sum,agg__month_std,agg__timesincemidnight_mean,agg__timesincemidnight_max,agg__timesincemidnight_min,agg__timesincemidnight_sum,agg__timesincemidnight_std,agg__timesincelastevent_mean,agg__timesincelastevent_max,agg__timesincelastevent_min,agg__timesincelastevent_sum,agg__timesincelastevent_std,agg__timesincecasestart_mean,agg__timesincecasestart_max,agg__timesincecasestart_min,agg__timesincecasestart_sum,agg__timesincecasestart_std,agg__event_nr_mean,agg__event_nr_max,agg__event_nr_min,agg__event_nr_sum,agg__event_nr_std,agg__open_cases_mean,agg__open_cases_max,agg__open_cases_min,agg__open_cases_sum,agg__open_cases_std
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,3.0,0.0,0.0,4.8,24.0,0.0,72.0,6.991831969213383,0.0,0.0,0.0,0.0,0.0,142.2,295.0,29.0,2133.0,88.3299011013339,12.066666666666666,21.0,0.0,181.0,6.9741017513436985,1.6,3.0,0.0,24.0,0.7367883976130072,2.066666666666667,3.0,2.0,31.0,0.2581988897471611,746.0666666666667,1269.0,11.0,11191.0,418.92608735511647,204.13333333333333,723.0,0.0,3062.0,210.55602127518958,1781.0666666666666,3062.0,0.0,26716.0,952.7426175195981,8.0,15.0,1.0,120.0,4.47213595499958,19.0,24.0,16.0,285.0,3.1167748898959178
251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,16.733333333333334,79.0,0.0,251.0,22.817495376094527,0.0,0.0,0.0,0.0,0.0,221.33333333333334,619.0,13.0,3320.0,206.0768465079633,12.933333333333334,23.0,5.0,194.0,6.518837173548523,2.8666666666666667,6.0,1.0,43.0,1.846489590960049,1.0,1.0,1.0,15.0,0.0,797.9333333333333,1423.0,310.0,11969.0,391.3873614038484,506.8,2964.0,0.0,7602.0,728.7698245281957,2820.9333333333334,7602.0,0.0,42314.0,2551.9408990768093,8.0,15.0,1.0,120.0,4.47213595499958,34.8,37.0,32.0,522.0,1.6561573424216516
90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,12.0,3.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,26.8,90.0,0.0,402.0,31.908798607459804,0.0,0.0,0.0,0.0,0.0,152.66666666666666,429.0,50.0,2290.0,134.97336597940173,11.533333333333333,23.0,1.0,173.0,5.804759951560279,2.7333333333333334,6.0,0.0,41.0,2.374467358818655,3.0,3.0,3.0,45.0,0.0,719.2,1430.0,75.0,10788.0,358.2417778938848,635.9333333333333,3004.0,0.0,9539.0,948.6768580251028,4366.2,9539.0,0.0,65493.0,3639.8441136164847,8.0,15.0,1.0,120.0,4.47213595499958,18.933333333333334,21.0,16.0,284.0,1.579632265825846
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,10.666666666666666,60.0,0.0,160.0,15.56399997552349,0.0,0.0,0.0,0.0,0.0,208.73333333333332,419.0,54.0,3131.0,144.65005390679292,12.933333333333334,23.0,6.0,194.0,5.457192719792145,1.8,6.0,0.0,27.0,1.61245154965971,1.0,1.0,1.0,15.0,0.0,807.1333333333333,1420.0,397.0,12107.0,324.3452452175584,366.73333333333335,1237.0,0.0,5501.0,367.7028044235621,2747.133333333333,5501.0,0.0,41207.0,1785.641096023925,8.0,15.0,1.0,120.0,4.47213595499958,33.4,36.0,29.0,501.0,2.7202941017470894
290.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,12.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,32.06666666666667,181.0,0.0,481.0,50.433076825583804,0.0,0.0,0.0,0.0,0.0,215.8,634.0,34.0,3237.0,177.64700150257855,11.333333333333334,22.0,0.0,170.0,6.521028256633268,1.7333333333333334,6.0,0.0,26.0,2.250925735484551,3.0,3.0,3.0,45.0,0.0,707.2666666666667,1374.0,12.0,10609.0,396.6006387623029,194.6,635.0,0.0,2919.0,192.39312432026847,1713.2666666666667,2919.0,0.0,25699.0,1032.0080610611712,8.0,15.0,1.0,120.0,4.47213595499958,19.533333333333335,21.0,18.0,293.0,1.1872336794093252
69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,12.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,20.4,69.0,0.0,306.0,26.459672819486745,0.0,0.0,0.0,0.0,0.0,226.93333333333334,587.0,46.0,3404.0,173.78454093119635,11.666666666666666,23.0,1.0,175.0,6.586421819239365,3.3333333333333335,6.0,0.0,50.0,2.410295378065479,1.2666666666666666,2.0,1.0,19.0,0.4577377082170635,732.0666666666667,1425.0,75.0,10981.0,405.50576297942285,1078.6666666666667,8011.0,0.0,16180.0,2053.099735475489,6168.066666666667,16180.0,0.0,92521.0,6027.797376282966,8.0,15.0,1.0,120.0,4.47213595499958,32.06666666666667,34.0,28.0,481.0,1.6242214252050844
250.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,14.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.866666666666666,31.0,0.0,73.0,10.315499203117792,0.0,0.0,0.0,0.0,0.0,265.93333333333334,550.0,9.0,3989.0,155.37257832461333,13.933333333333334,23.0,4.0,209.0,5.391351098441528,2.0,6.0,0.0,30.0,2.390457218668787,1.0,1.0,1.0,15.0,0.0,867.1333333333333,1427.0,290.0,13007.0,319.9048668112503,2165.133333333333,13727.0,0.0,32477.0,3570.974694206984,19585.133333333335,32477.0,0.0,293777.0,9138.264588817621,8.0,15.0,1.0,120.0,4.47213595499958,28.0,35.0,1.0,420.0,10.60323400800772
100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,11.0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,24.0,100.0,0.0,360.0,34.942810419312295,0.0,0.0,0.0,0.0,0.0,232.66666666666666,651.0,14.0,3490.0,242.37917952387468,12.266666666666667,23.0,0.0,184.0,7.506822293912449,1.9333333333333333,6.0,0.0,29.0,2.250925735484551,2.0,2.0,2.0,30.0,0.0,770.3333333333334,1387.0,29.0,11555.0,442.0280641812344,265.26666666666665,862.0,0.0,3979.0,269.79501919226084,1735.3333333333333,3979.0,0.0,26030.0,1530.387517062575,8.0,15.0,1.0,120.0,4.47213595499958,21.533333333333335,24.0,17.0,323.0,2.2949219304078
200.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,13.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,37.0,0.0,180.0,12.83410634653951,0.0,0.0,0.0,0.0,0.0,322.73333333333335,647.0,43.0,4841.0,204.3548967104136,14.066666666666666,23.0,3.0,211.0,6.734417640180994,2.6,6.0,0.0,39.0,2.1313979316066587,1.0,1.0,1.0,15.0,0.0,880.3333333333334,1422.0,198.0,13205.0,405.6688774052529,1391.3333333333333,11899.0,0.0,20870.0,3033.8342234271954,14806.333333333334,20870.0,0.0,222095.0,5112.169942774744,8.0,15.0,1.0,120.0,4.47213595499958,27.733333333333334,31.0,3.0,416.0,6.90203558655671
350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,32.333333333333336,144.0,0.0,485.0,47.403536134926036,0.0,0.0,0.0,0.0,0.0,137.13333333333333,623.0,1.0,2057.0,168.50428848576894,12.466666666666667,17.0,6.0,187.0,3.0906926331133207,2.1333333333333333,6.0,0.0,32.0,1.6846647257229668,1.6,2.0,1.0,24.0,0.50709255283711,777.8666666666667,1079.0,407.0,11668.0,178.4187957213776,2980.3333333333335,21262.0,0.0,44705.0,6766.655057461307,30631.866666666665,44705.0,0.0,459478.0,19916.48994055883,8.0,15.0,1.0,120.0,4.47213595499958,26.066666666666666,34.0,6.0,391.0,11.798708565327134
