"Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability";LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability
"Case114;1;1;1;0.9995524985686222;0.36510554089709757;0.911612656673853;0.911612656673853";0.8952380952380953;0.984690966356111;0.984690966356111
"Case116;1;1;1;1.0;0.3052821522309712;0.9528669172904635;0.9528669172904635";0.8942035208243881;0.9839802934890792;0.9839802934890792
"Case12;0;1;0;0.9999999999995736;1.0;0.9671736476739897;0.9671736476739897";0.903815458923788;0.8678667361850387;0.8678667361850387
"Case136;0;1;1;0.9999999999999716;0.45229143379737846;0.9071588118410217;0.9071588118410217";0.9179501022959764;0.9816724954377964;0.9816724954377964
"Case163;1;1;1;1.0;0.6842191601049868;0.9667398586781222;0.9667398586781222";0.8379970544918999;0.9805529588761469;0.9805529588761469
"Case253;1;1;1;0.9999999999965326;0.44664031620553357;0.9664127485749319;0.9664127485749319";0.9802564102564103;0.9811500910977989;0.9811500910977989
"Case263;0;1;0;1.0;1.0;0.9823201547006304;0.9823201547006304";0.9674377299446019;0.9809409267185141;0.9809409267185141
"Case84;0;1;0;1.0;1.0;0.9792736775089455;0.9792736775089455";0.8772321428571429;0.9813571775249559;0.9813571775249559
"Case126_2;1;2;1;1.0;0.6844021065675341;-0.32406852028667266;-0.32406852028667266";0.9129172009169678;0.9796289528200628;0.9796289528200628
"Case129_2;0;2;0;1.0;0.8320972393901936;-0.16981725507458778;-0.16981725507458778";0.8240322089006299;0.9564507983004378;0.9564507983004378
"Case156_2;1;2;1;1.0;0.7191204852495174;-0.6065536100516746;-0.6065536100516746";0.46263736263736277;0.9668354118082089;0.9668354118082089
"Case190_2;0;2;0;1.0;0.5444099378881987;-0.46658255547290195;-0.46658255547290195";0.8253030699978565;0.9822226501215338;0.9822226501215338
"Case277_2;1;2;0;1.0;0.1394409937888199;-0.7183355849873927;-0.7183355849873927";0.8404059253115856;0.9777255073476656;0.9777255073476656
"Case29_2;1;2;1;1.0;0.4470827679782905;-0.5297269816676755;-0.5297269816676755";0.8440869565217392;0.9507324919134115;0.9507324919134115
